[JOINT_STATE step=0] names=['j_c1_lf', 'j_c1_lm', 'j_c1_lr', 'j_c1_rf', 'j_c1_rm', 'j_c1_rr', 'j_thigh_lf', 'j_thigh_lm', 'j_thigh_lr', 'j_thigh_rf', 'j_thigh_rm', 'j_thigh_rr', 'j_tibia_lf', 'j_tibia_lm', 'j_tibia_lr', 'j_tibia_rf', 'j_tibia_rm', 'j_tibia_rr'] pos=[-0.09246624261140823, -0.042534422129392624, -0.26438459753990173, 0.01451838668435812, -0.012086640112102032, -0.05797257646918297, -1.2622851133346558, -1.232838749885559, -1.307454228401184, -1.2363144159317017, -1.3671051263809204, -0.9734495878219604, -0.9688315391540527, -1.0184189081192017, -0.8713357448577881, -0.8818047046661377, -1.01270592212677, -0.8783109188079834] lin_vel_b=[0.0, 0.0, 0.0] ang_vel_b=[0.0, 0.0, 0.0] mean_base_height=0.1710
[JOINT_STATE step=50000] names=['j_c1_lf', 'j_c1_lm', 'j_c1_lr', 'j_c1_rf', 'j_c1_rm', 'j_c1_rr', 'j_thigh_lf', 'j_thigh_lm', 'j_thigh_lr', 'j_thigh_rf', 'j_thigh_rm', 'j_thigh_rr', 'j_tibia_lf', 'j_tibia_lm', 'j_tibia_lr', 'j_tibia_rf', 'j_tibia_rm', 'j_tibia_rr'] pos=[0.7548985481262207, -0.28890514373779297, 0.7453284859657288, -0.08228018134832382, -0.6962974071502686, -0.6723702549934387, -0.9732557535171509, -1.0945249795913696, -1.0396744012832642, -1.0133957862854004, -1.117545247077942, -1.1832162141799927, -1.1611329317092896, -1.380418062210083, -0.957391083240509, -1.1565601825714111, -1.2160727977752686, -1.3488441705703735] lin_vel_b=[-0.004303477704524994, 0.042293090373277664, -0.013327330350875854] ang_vel_b=[0.22626233100891113, 0.09483292698860168, -0.13715286552906036] mean_base_height=0.1053
[JOINT_STATE step=100000] names=['j_c1_lf', 'j_c1_lm', 'j_c1_lr', 'j_c1_rf', 'j_c1_rm', 'j_c1_rr', 'j_thigh_lf', 'j_thigh_lm', 'j_thigh_lr', 'j_thigh_rf', 'j_thigh_rm', 'j_thigh_rr', 'j_tibia_lf', 'j_tibia_lm', 'j_tibia_lr', 'j_tibia_rf', 'j_tibia_rm', 'j_tibia_rr'] pos=[0.25644928216934204, 0.21461668610572815, 0.7558586597442627, -0.3974002003669739, -0.7638063430786133, -0.6249467730522156, -0.9066570997238159, -1.023414134979248, -1.2455111742019653, -0.9570490121841431, -1.22926926612854, -1.3369717597961426, -0.9978614449501038, -1.4257547855377197, -1.1234076023101807, -1.1517244577407837, -1.303368330001831, -1.2919949293136597] lin_vel_b=[0.141304150223732, -0.007481798529624939, 0.0258281622081995] ang_vel_b=[-0.20272228121757507, 0.29168280959129333, 0.2480948567390442] mean_base_height=0.1000
[JOINT_STATE step=150000] names=['j_c1_lf', 'j_c1_lm', 'j_c1_lr', 'j_c1_rf', 'j_c1_rm', 'j_c1_rr', 'j_thigh_lf', 'j_thigh_lm', 'j_thigh_lr', 'j_thigh_rf', 'j_thigh_rm', 'j_thigh_rr', 'j_tibia_lf', 'j_tibia_lm', 'j_tibia_lr', 'j_tibia_rf', 'j_tibia_rm', 'j_tibia_rr'] pos=[0.23860065639019012, 0.20118634402751923, 0.6700819730758667, -0.3153490722179413, -0.7435920238494873, -0.7256991863250732, -0.8489260077476501, -1.0633825063705444, -1.285056233406067, -0.9051475524902344, -1.2153918743133545, -1.3158390522003174, -0.9878724813461304, -1.2701014280319214, -1.1497761011123657, -1.1155322790145874, -1.18229079246521, -1.2655202150344849] lin_vel_b=[0.1328049898147583, 0.02576482854783535, 0.04287215694785118] ang_vel_b=[-0.0013023174833506346, 0.09017127007246017, -0.015632905066013336] mean_base_height=0.0990
[JOINT_STATE step=200000] names=['j_c1_lf', 'j_c1_lm', 'j_c1_lr', 'j_c1_rf', 'j_c1_rm', 'j_c1_rr', 'j_thigh_lf', 'j_thigh_lm', 'j_thigh_lr', 'j_thigh_rf', 'j_thigh_rm', 'j_thigh_rr', 'j_tibia_lf', 'j_tibia_lm', 'j_tibia_lr', 'j_tibia_rf', 'j_tibia_rm', 'j_tibia_rr'] pos=[0.3433990478515625, 0.19391357898712158, 0.7641471028327942, -0.37365323305130005, -0.7450940012931824, -0.7364715933799744, -0.648656964302063, -0.9225279688835144, -1.2845529317855835, -0.9238395094871521, -1.1853581666946411, -1.3669084310531616, -0.8966426849365234, -1.0702269077301025, -1.1896194219589233, -1.0728527307510376, -1.028731346130371, -1.158750295639038] lin_vel_b=[0.11504027247428894, -0.009142116643488407, -0.0008526379242539406] ang_vel_b=[-0.11242130398750305, 0.2407674938440323, -0.29629144072532654] mean_base_height=0.0998
[JOINT_STATE step=250000] names=['j_c1_lf', 'j_c1_lm', 'j_c1_lr', 'j_c1_rf', 'j_c1_rm', 'j_c1_rr', 'j_thigh_lf', 'j_thigh_lm', 'j_thigh_lr', 'j_thigh_rf', 'j_thigh_rm', 'j_thigh_rr', 'j_tibia_lf', 'j_tibia_lm', 'j_tibia_lr', 'j_tibia_rf', 'j_tibia_rm', 'j_tibia_rr'] pos=[0.5401821732521057, -0.34070152044296265, 0.7161320447921753, -0.47386205196380615, -0.7152731418609619, -0.7334112524986267, -0.8319072127342224, -0.9753188490867615, -0.8593246936798096, -0.8686910271644592, -0.9631487131118774, -1.0706253051757812, -0.986018717288971, -0.959564208984375, -0.6427478194236755, -1.0883842706680298, -0.9356857538223267, -1.1125746965408325] lin_vel_b=[0.0705399364233017, 0.0033641234040260315, 0.0393083393573761] ang_vel_b=[-0.0034570395946502686, 0.09397340565919876, -0.22600336372852325] mean_base_height=0.1030
[JOINT_STATE step=300000] names=['j_c1_lf', 'j_c1_lm', 'j_c1_lr', 'j_c1_rf', 'j_c1_rm', 'j_c1_rr', 'j_thigh_lf', 'j_thigh_lm', 'j_thigh_lr', 'j_thigh_rf', 'j_thigh_rm', 'j_thigh_rr', 'j_tibia_lf', 'j_tibia_lm', 'j_tibia_lr', 'j_tibia_rf', 'j_tibia_rm', 'j_tibia_rr'] pos=[0.6111156940460205, -0.4621806740760803, 0.7272062301635742, -0.37270787358283997, -0.33260226249694824, -0.6289790868759155, -0.784654438495636, -0.9076095223426819, -0.9559485912322998, -0.8168917894363403, -0.8534267544746399, -1.1377755403518677, -0.9828089475631714, -0.9954864382743835, -0.8319278359413147, -1.0381137132644653, -0.7351689338684082, -1.1755468845367432] lin_vel_b=[0.061630167067050934, -0.01670783944427967, 0.02330004796385765] ang_vel_b=[0.025495406240224838, 0.04694266617298126, -0.18611465394496918] mean_base_height=0.1037
[JOINT_STATE step=350000] names=['j_c1_lf', 'j_c1_lm', 'j_c1_lr', 'j_c1_rf', 'j_c1_rm', 'j_c1_rr', 'j_thigh_lf', 'j_thigh_lm', 'j_thigh_lr', 'j_thigh_rf', 'j_thigh_rm', 'j_thigh_rr', 'j_tibia_lf', 'j_tibia_lm', 'j_tibia_lr', 'j_tibia_rf', 'j_tibia_rm', 'j_tibia_rr'] pos=[0.618455708026886, -0.5407060980796814, 0.7753379344940186, -0.5130436420440674, -0.7416761517524719, -0.6789105534553528, -0.8327298760414124, -0.9600457549095154, -0.9270780682563782, -0.7544144988059998, -0.8527337312698364, -1.1336268186569214, -0.9841499924659729, -0.941819965839386, -0.7275635600090027, -1.0121583938598633, -0.7907545566558838, -1.137879729270935] lin_vel_b=[0.070212721824646, -0.007053123787045479, 0.019941342994570732] ang_vel_b=[-0.10384220629930496, 0.04104194790124893, -0.09579333662986755] mean_base_height=0.1041
[JOINT_STATE step=400000] names=['j_c1_lf', 'j_c1_lm', 'j_c1_lr', 'j_c1_rf', 'j_c1_rm', 'j_c1_rr', 'j_thigh_lf', 'j_thigh_lm', 'j_thigh_lr', 'j_thigh_rf', 'j_thigh_rm', 'j_thigh_rr', 'j_tibia_lf', 'j_tibia_lm', 'j_tibia_lr', 'j_tibia_rf', 'j_tibia_rm', 'j_tibia_rr'] pos=[-0.15998627245426178, 0.32989346981048584, -0.0746491476893425, 0.03467153012752533, 0.04741159453988075, -0.044146984815597534, -1.135429859161377, -1.223568320274353, -1.1798254251480103, -1.0812076330184937, -1.0758477449417114, -1.0687565803527832, -0.8483788371086121, -1.0543495416641235, -1.0631171464920044, -0.9967226386070251, -0.9055273532867432, -0.9415977597236633] lin_vel_b=[-0.015831314027309418, 0.014364626258611679, -0.1842101812362671] ang_vel_b=[-0.03810796141624451, -0.010481494478881359, 0.06604238599538803] mean_base_height=0.1045
[JOINT_STATE step=450000] names=['j_c1_lf', 'j_c1_lm', 'j_c1_lr', 'j_c1_rf', 'j_c1_rm', 'j_c1_rr', 'j_thigh_lf', 'j_thigh_lm', 'j_thigh_lr', 'j_thigh_rf', 'j_thigh_rm', 'j_thigh_rr', 'j_tibia_lf', 'j_tibia_lm', 'j_tibia_lr', 'j_tibia_rf', 'j_tibia_rm', 'j_tibia_rr'] pos=[0.552455723285675, -0.29495134949684143, 0.5715714693069458, -0.33080437779426575, -0.455124169588089, -0.4180746376514435, -0.7076616883277893, -0.7009361386299133, -0.9297982454299927, -0.7563542127609253, -0.9027061462402344, -1.003666639328003, -0.9019890427589417, -0.6761396527290344, -0.9322168827056885, -0.9922152161598206, -1.1038869619369507, -1.1471247673034668] lin_vel_b=[0.0782448872923851, -0.018212806433439255, 0.03548772633075714] ang_vel_b=[-0.18288657069206238, 0.1661171168088913, -0.21474409103393555] mean_base_height=0.1049
[JOINT_STATE step=500000] names=['j_c1_lf', 'j_c1_lm', 'j_c1_lr', 'j_c1_rf', 'j_c1_rm', 'j_c1_rr', 'j_thigh_lf', 'j_thigh_lm', 'j_thigh_lr', 'j_thigh_rf', 'j_thigh_rm', 'j_thigh_rr', 'j_tibia_lf', 'j_tibia_lm', 'j_tibia_lr', 'j_tibia_rf', 'j_tibia_rm', 'j_tibia_rr'] pos=[0.6397299766540527, -0.5277125835418701, 0.712015688419342, -0.45830798149108887, -0.6036602258682251, -0.6792283058166504, -0.8278887867927551, -0.8960530161857605, -0.8762109875679016, -0.7666553854942322, -0.8710917830467224, -1.0416111946105957, -0.9689833521842957, -0.7872681617736816, -0.7098668813705444, -0.9837767481803894, -0.9850791692733765, -1.1095967292785645] lin_vel_b=[0.07721790671348572, -0.0025819940492510796, 0.0012982268817722797] ang_vel_b=[0.14265400171279907, 0.0913882926106453, 0.041146598756313324] mean_base_height=0.1035
