[JOINT_STATE step=0] names=['j_c1_lf', 'j_c1_lm', 'j_c1_lr', 'j_c1_rf', 'j_c1_rm', 'j_c1_rr', 'j_thigh_lf', 'j_thigh_lm', 'j_thigh_lr', 'j_thigh_rf', 'j_thigh_rm', 'j_thigh_rr', 'j_tibia_lf', 'j_tibia_lm', 'j_tibia_lr', 'j_tibia_rf', 'j_tibia_rm', 'j_tibia_rr'] pos=[-0.09246624261140823, -0.042534422129392624, -0.26438459753990173, 0.01451838668435812, -0.012086640112102032, -0.05797257646918297, -1.2622851133346558, -1.232838749885559, -1.307454228401184, -1.2363144159317017, -1.3671051263809204, -0.9734495878219604, -0.9688315391540527, -1.0184189081192017, -0.8713357448577881, -0.8818047046661377, -1.01270592212677, -0.8783109188079834] lin_vel_b=[0.0, 0.0, 0.0] ang_vel_b=[0.0, 0.0, 0.0] mean_base_height=0.1702
[JOINT_STATE step=50000] names=['j_c1_lf', 'j_c1_lm', 'j_c1_lr', 'j_c1_rf', 'j_c1_rm', 'j_c1_rr', 'j_thigh_lf', 'j_thigh_lm', 'j_thigh_lr', 'j_thigh_rf', 'j_thigh_rm', 'j_thigh_rr', 'j_tibia_lf', 'j_tibia_lm', 'j_tibia_lr', 'j_tibia_rf', 'j_tibia_rm', 'j_tibia_rr'] pos=[0.7626044154167175, 0.729444682598114, 0.7110706567764282, -0.7459172606468201, 0.21433125436306, -0.6470040678977966, -0.6340890526771545, -0.5641103982925415, -0.5502156615257263, -0.9597123861312866, -1.0052059888839722, -0.648811936378479, -0.8020452857017517, -0.909081220626831, -0.4679056406021118, -1.1890227794647217, -1.1124241352081299, -0.5147576928138733] lin_vel_b=[0.0022930181585252285, -0.004168629180639982, 0.010772037319839] ang_vel_b=[0.05679820105433464, -0.042129550129175186, -0.025869809091091156] mean_base_height=0.0999
[JOINT_STATE step=100000] names=['j_c1_lf', 'j_c1_lm', 'j_c1_lr', 'j_c1_rf', 'j_c1_rm', 'j_c1_rr', 'j_thigh_lf', 'j_thigh_lm', 'j_thigh_lr', 'j_thigh_rf', 'j_thigh_rm', 'j_thigh_rr', 'j_tibia_lf', 'j_tibia_lm', 'j_tibia_lr', 'j_tibia_rf', 'j_tibia_rm', 'j_tibia_rr'] pos=[0.763491690158844, 0.746937096118927, 0.7353471517562866, -0.7562838792800903, -0.7637065052986145, -0.7464913129806519, -0.6718217134475708, -0.6060789227485657, -0.4219229221343994, -0.7567979693412781, -0.741348385810852, -0.5203843712806702, -0.7893458008766174, -0.6851012110710144, -1.0350466966629028, -0.644755482673645, -0.6912794709205627, -0.32927441596984863] lin_vel_b=[-0.004213136620819569, -0.004354649223387241, 0.02171562984585762] ang_vel_b=[-0.018167272210121155, 0.032195352017879486, -0.022555869072675705] mean_base_height=0.1040
[JOINT_STATE step=150000] names=['j_c1_lf', 'j_c1_lm', 'j_c1_lr', 'j_c1_rf', 'j_c1_rm', 'j_c1_rr', 'j_thigh_lf', 'j_thigh_lm', 'j_thigh_lr', 'j_thigh_rf', 'j_thigh_rm', 'j_thigh_rr', 'j_tibia_lf', 'j_tibia_lm', 'j_tibia_lr', 'j_tibia_rf', 'j_tibia_rm', 'j_tibia_rr'] pos=[0.6824522614479065, -0.07850527763366699, -0.7404764890670776, 0.7571195960044861, 0.5373328924179077, 0.3491039276123047, -0.8233036398887634, -0.6393032073974609, -0.5197071433067322, -1.2799975872039795, -1.227982997894287, -1.0678001642227173, -1.1020965576171875, -0.8300433158874512, -0.9696593284606934, -0.9685915112495422, -1.2929407358169556, -1.1318609714508057] lin_vel_b=[0.11731719225645065, -0.023825041949748993, 0.07764381170272827] ang_vel_b=[-0.3294214904308319, 0.13931772112846375, 0.9441150426864624] mean_base_height=0.0989
[JOINT_STATE step=200000] names=['j_c1_lf', 'j_c1_lm', 'j_c1_lr', 'j_c1_rf', 'j_c1_rm', 'j_c1_rr', 'j_thigh_lf', 'j_thigh_lm', 'j_thigh_lr', 'j_thigh_rf', 'j_thigh_rm', 'j_thigh_rr', 'j_tibia_lf', 'j_tibia_lm', 'j_tibia_lr', 'j_tibia_rf', 'j_tibia_rm', 'j_tibia_rr'] pos=[0.6005648374557495, 0.5682048797607422, -0.7398179769515991, 0.7598305940628052, 0.7265292406082153, -0.01847948133945465, -0.700995683670044, -0.5834386348724365, -0.43372446298599243, -1.0301592350006104, -1.346563458442688, -1.0046926736831665, -0.9683923125267029, -0.7917600870132446, -1.0430920124053955, -0.991960346698761, -1.2817095518112183, -1.1218825578689575] lin_vel_b=[0.05411139130592346, -0.04388695955276489, 0.030691951513290405] ang_vel_b=[0.047995537519454956, 0.22488346695899963, 0.1195855587720871] mean_base_height=0.0995
[JOINT_STATE step=250000] names=['j_c1_lf', 'j_c1_lm', 'j_c1_lr', 'j_c1_rf', 'j_c1_rm', 'j_c1_rr', 'j_thigh_lf', 'j_thigh_lm', 'j_thigh_lr', 'j_thigh_rf', 'j_thigh_rm', 'j_thigh_rr', 'j_tibia_lf', 'j_tibia_lm', 'j_tibia_lr', 'j_tibia_rf', 'j_tibia_rm', 'j_tibia_rr'] pos=[0.5076308250427246, 0.5897418260574341, -0.7445566654205322, 0.7558545470237732, 0.7470595836639404, 0.6171495914459229, -0.8699269890785217, -0.606656014919281, -0.43247807025909424, -1.1623135805130005, -1.3586008548736572, -1.1286635398864746, -1.1685742139816284, -0.7940927147865295, -1.0254637002944946, -0.9535136818885803, -1.3562791347503662, -1.2823817729949951] lin_vel_b=[0.0610777772963047, 0.045983798801898956, -0.06683468818664551] ang_vel_b=[0.8993557691574097, -0.10641229152679443, 0.16578739881515503] mean_base_height=0.0975
[JOINT_STATE step=300000] names=['j_c1_lf', 'j_c1_lm', 'j_c1_lr', 'j_c1_rf', 'j_c1_rm', 'j_c1_rr', 'j_thigh_lf', 'j_thigh_lm', 'j_thigh_lr', 'j_thigh_rf', 'j_thigh_rm', 'j_thigh_rr', 'j_tibia_lf', 'j_tibia_lm', 'j_tibia_lr', 'j_tibia_rf', 'j_tibia_rm', 'j_tibia_rr'] pos=[0.5859445929527283, 0.721449613571167, -0.7145503759384155, 0.757222592830658, 0.7460699081420898, 0.5781518816947937, -0.8873406052589417, -0.6196427941322327, -0.35766270756721497, -1.1715911626815796, -1.230246901512146, -0.9292022585868835, -1.1458135843276978, -0.7464125752449036, -1.0327377319335938, -0.9404972195625305, -1.2828032970428467, -1.138215184211731] lin_vel_b=[0.10090939700603485, -0.07381568104028702, 0.09980795532464981] ang_vel_b=[-0.26287782192230225, -0.023178160190582275, -0.032702360302209854] mean_base_height=0.0983
[JOINT_STATE step=350000] names=['j_c1_lf', 'j_c1_lm', 'j_c1_lr', 'j_c1_rf', 'j_c1_rm', 'j_c1_rr', 'j_thigh_lf', 'j_thigh_lm', 'j_thigh_lr', 'j_thigh_rf', 'j_thigh_rm', 'j_thigh_rr', 'j_tibia_lf', 'j_tibia_lm', 'j_tibia_lr', 'j_tibia_rf', 'j_tibia_rm', 'j_tibia_rr'] pos=[0.27343010902404785, 0.7362584471702576, -0.7086576223373413, -0.36878126859664917, 0.750935435295105, 0.6571845412254333, -0.8879837989807129, -0.687026858329773, -0.3658417761325836, -1.0275521278381348, -1.1729520559310913, -0.866346001625061, -1.2072926759719849, -0.8096185922622681, -1.064073920249939, -0.9280216097831726, -0.9363287091255188, -1.0157887935638428] lin_vel_b=[0.13781464099884033, -0.09579795598983765, 0.08833567798137665] ang_vel_b=[-0.20663359761238098, -0.23255714774131775, -0.16495384275913239] mean_base_height=0.1011
[JOINT_STATE step=400000] names=['j_c1_lf', 'j_c1_lm', 'j_c1_lr', 'j_c1_rf', 'j_c1_rm', 'j_c1_rr', 'j_thigh_lf', 'j_thigh_lm', 'j_thigh_lr', 'j_thigh_rf', 'j_thigh_rm', 'j_thigh_rr', 'j_tibia_lf', 'j_tibia_lm', 'j_tibia_lr', 'j_tibia_rf', 'j_tibia_rm', 'j_tibia_rr'] pos=[0.253313809633255, 0.7348389029502869, -0.7134119272232056, -0.7397089004516602, 0.7389262914657593, 0.6826441287994385, -0.9546189904212952, -0.6860905289649963, -0.38221487402915955, -1.0232045650482178, -1.0416791439056396, -0.8590118885040283, -1.1494077444076538, -0.9187139272689819, -1.0390040874481201, -0.9152714610099792, -1.1795580387115479, -1.0637593269348145] lin_vel_b=[0.11595048755407333, -0.0652502253651619, 0.027442239224910736] ang_vel_b=[0.1875026375055313, -0.07539644092321396, -0.05618978291749954] mean_base_height=0.1016
[JOINT_STATE step=450000] names=['j_c1_lf', 'j_c1_lm', 'j_c1_lr', 'j_c1_rf', 'j_c1_rm', 'j_c1_rr', 'j_thigh_lf', 'j_thigh_lm', 'j_thigh_lr', 'j_thigh_rf', 'j_thigh_rm', 'j_thigh_rr', 'j_tibia_lf', 'j_tibia_lm', 'j_tibia_lr', 'j_tibia_rf', 'j_tibia_rm', 'j_tibia_rr'] pos=[0.37821733951568604, 0.7376298308372498, -0.7189173698425293, -0.722876250743866, 0.7132368683815002, 0.6665861010551453, -0.869098424911499, -0.7097800374031067, -0.36779916286468506, -1.3787927627563477, -0.9546849727630615, -0.7507855892181396, -1.2610890865325928, -0.9605063199996948, -1.0525223016738892, -1.0499011278152466, -0.939047634601593, -1.0683461427688599] lin_vel_b=[0.11493328213691711, -0.12932203710079193, 0.07054629921913147] ang_vel_b=[-0.13482367992401123, 0.1418059766292572, 0.007066457532346249] mean_base_height=0.1025
[JOINT_STATE step=500000] names=['j_c1_lf', 'j_c1_lm', 'j_c1_lr', 'j_c1_rf', 'j_c1_rm', 'j_c1_rr', 'j_thigh_lf', 'j_thigh_lm', 'j_thigh_lr', 'j_thigh_rf', 'j_thigh_rm', 'j_thigh_rr', 'j_tibia_lf', 'j_tibia_lm', 'j_tibia_lr', 'j_tibia_rf', 'j_tibia_rm', 'j_tibia_rr'] pos=[0.2965521514415741, 0.7353471517562866, -0.7098696231842041, -0.729310154914856, 0.7175657749176025, 0.5980257987976074, -0.9496203660964966, -0.6755644083023071, -0.3794448673725128, -1.1835232973098755, -1.0238001346588135, -0.7725581526756287, -1.231011152267456, -0.9049996733665466, -1.023979902267456, -0.8798415064811707, -1.029302954673767, -1.0105586051940918] lin_vel_b=[0.15693092346191406, -0.1488076001405716, 0.056272733956575394] ang_vel_b=[0.02092304825782776, -0.18755492568016052, -0.043742381036281586] mean_base_height=0.1020
