[JOINT_STATE step=0] names=['j_c1_lf', 'j_c1_lm', 'j_c1_lr', 'j_c1_rf', 'j_c1_rm', 'j_c1_rr', 'j_thigh_lf', 'j_thigh_lm', 'j_thigh_lr', 'j_thigh_rf', 'j_thigh_rm', 'j_thigh_rr', 'j_tibia_lf', 'j_tibia_lm', 'j_tibia_lr', 'j_tibia_rf', 'j_tibia_rm', 'j_tibia_rr'] pos=[-0.09246624261140823, -0.042534422129392624, -0.26438459753990173, 0.01451838668435812, -0.012086640112102032, -0.05797257646918297, 0.43771490454673767, 0.46716129779815674, 0.39254581928253174, 0.4636856019496918, 0.3328949511051178, 0.7265504598617554, 0.5311684608459473, 0.48158109188079834, 0.6286642551422119, 0.6181952953338623, 0.48729407787323, 0.6216890811920166] lin_vel_b=[0.0, 0.0, 0.0] ang_vel_b=[0.0, 0.0, 0.0] mean_base_height=0.2804
[JOINT_STATE step=50000] names=['j_c1_lf', 'j_c1_lm', 'j_c1_lr', 'j_c1_rf', 'j_c1_rm', 'j_c1_rr', 'j_thigh_lf', 'j_thigh_lm', 'j_thigh_lr', 'j_thigh_rf', 'j_thigh_rm', 'j_thigh_rr', 'j_tibia_lf', 'j_tibia_lm', 'j_tibia_lr', 'j_tibia_rf', 'j_tibia_rm', 'j_tibia_rr'] pos=[0.5056933164596558, 0.5197833776473999, 0.5248881578445435, -0.5404372215270996, 0.47251904010772705, -0.4669434130191803, -0.27054405212402344, -0.04191948100924492, -0.17292030155658722, 0.775679886341095, 0.9204620718955994, -0.24392534792423248, -0.2582145035266876, 0.596344530582428, 0.46304237842559814, 1.2091970443725586, 1.458893895149231, 0.14723001420497894] lin_vel_b=[-0.0006224121898412704, 0.013194938190281391, -0.020039532333612442] ang_vel_b=[0.1592661440372467, 0.04305596277117729, -0.036962009966373444] mean_base_height=0.1764
[JOINT_STATE step=100000] names=['j_c1_lf', 'j_c1_lm', 'j_c1_lr', 'j_c1_rf', 'j_c1_rm', 'j_c1_rr', 'j_thigh_lf', 'j_thigh_lm', 'j_thigh_lr', 'j_thigh_rf', 'j_thigh_rm', 'j_thigh_rr', 'j_tibia_lf', 'j_tibia_lm', 'j_tibia_lr', 'j_tibia_rf', 'j_tibia_rm', 'j_tibia_rr'] pos=[0.5152859687805176, 0.510435163974762, 0.4898902177810669, -0.5153343081474304, -0.4759063422679901, -0.4526206851005554, 0.4051177501678467, 0.24804840981960297, 0.46176111698150635, 0.5635701417922974, 0.4800557494163513, 0.8403604626655579, 0.3367515206336975, 0.31739816069602966, 0.8037265539169312, 0.44077277183532715, 0.5182010531425476, 1.29917311668396] lin_vel_b=[0.007054769434034824, -0.016866978257894516, 0.061527930200099945] ang_vel_b=[0.058291420340538025, 0.02503804862499237, -0.06103011593222618] mean_base_height=0.1973
[JOINT_STATE step=150000] names=['j_c1_lf', 'j_c1_lm', 'j_c1_lr', 'j_c1_rf', 'j_c1_rm', 'j_c1_rr', 'j_thigh_lf', 'j_thigh_lm', 'j_thigh_lr', 'j_thigh_rf', 'j_thigh_rm', 'j_thigh_rr', 'j_tibia_lf', 'j_tibia_lm', 'j_tibia_lr', 'j_tibia_rf', 'j_tibia_rm', 'j_tibia_rr'] pos=[0.4119665026664734, 0.4428749084472656, 0.526540994644165, -0.4446239471435547, -0.3974958062171936, -0.4989691376686096, 0.3215653896331787, 0.2766266465187073, 0.4431326985359192, 0.6140549182891846, 0.5947100520133972, 0.5706763863563538, 0.1977892369031906, 0.36991479992866516, 0.7308269739151001, 0.33808568120002747, 0.6041327118873596, 0.8036036491394043] lin_vel_b=[0.044505029916763306, 0.00024645403027534485, 0.039273783564567566] ang_vel_b=[0.12903672456741333, 0.06220638379454613, -0.10603144764900208] mean_base_height=0.1978
[JOINT_STATE step=200000] names=['j_c1_lf', 'j_c1_lm', 'j_c1_lr', 'j_c1_rf', 'j_c1_rm', 'j_c1_rr', 'j_thigh_lf', 'j_thigh_lm', 'j_thigh_lr', 'j_thigh_rf', 'j_thigh_rm', 'j_thigh_rr', 'j_tibia_lf', 'j_tibia_lm', 'j_tibia_lr', 'j_tibia_rf', 'j_tibia_rm', 'j_tibia_rr'] pos=[0.4484989047050476, 0.3594464957714081, 0.535176157951355, -0.31619998812675476, -0.4319506883621216, -0.49333128333091736, 0.37034809589385986, 0.22559355199337006, 0.5031226873397827, 0.5909602046012878, 0.5712576508522034, 0.3998100757598877, 0.3193182945251465, 0.3206985294818878, 0.8443738222122192, 0.32651689648628235, 0.5653217434883118, 0.5399534702301025] lin_vel_b=[0.05897141993045807, 0.04486152529716492, 0.045165617018938065] ang_vel_b=[0.14448682963848114, -0.05908256769180298, 0.07953166216611862] mean_base_height=0.1980
[JOINT_STATE step=250000] names=['j_c1_lf', 'j_c1_lm', 'j_c1_lr', 'j_c1_rf', 'j_c1_rm', 'j_c1_rr', 'j_thigh_lf', 'j_thigh_lm', 'j_thigh_lr', 'j_thigh_rf', 'j_thigh_rm', 'j_thigh_rr', 'j_tibia_lf', 'j_tibia_lm', 'j_tibia_lr', 'j_tibia_rf', 'j_tibia_rm', 'j_tibia_rr'] pos=[0.41861310601234436, 0.43222376704216003, 0.5214161276817322, -0.3911157548427582, -0.37536782026290894, -0.495797723531723, 0.33598899841308594, 0.26125672459602356, 0.4522879123687744, 0.5973416566848755, 0.5455991625785828, 0.5056925415992737, 0.2571154534816742, 0.2909259498119354, 0.7278106212615967, 0.4510304927825928, 0.5056368708610535, 0.6839193105697632] lin_vel_b=[0.05528564006090164, 0.0369577556848526, 0.04028915986418724] ang_vel_b=[0.17762191593647003, 0.06933280825614929, -0.0028358888812363148] mean_base_height=0.1984
[JOINT_STATE step=300000] names=['j_c1_lf', 'j_c1_lm', 'j_c1_lr', 'j_c1_rf', 'j_c1_rm', 'j_c1_rr', 'j_thigh_lf', 'j_thigh_lm', 'j_thigh_lr', 'j_thigh_rf', 'j_thigh_rm', 'j_thigh_rr', 'j_tibia_lf', 'j_tibia_lm', 'j_tibia_lr', 'j_tibia_rf', 'j_tibia_rm', 'j_tibia_rr'] pos=[0.3682185113430023, 0.389775812625885, 0.5160805583000183, -0.3277737498283386, -0.42947709560394287, -0.5004836320877075, 0.34443286061286926, 0.2637353539466858, 0.45121869444847107, 0.5875503420829773, 0.5013729333877563, 0.4571956694126129, 0.2810688018798828, 0.2611815333366394, 0.7214253544807434, 0.34139662981033325, 0.4763514995574951, 0.5908512473106384] lin_vel_b=[0.049646392464637756, 0.04396795481443405, 0.03821108862757683] ang_vel_b=[0.20716895163059235, 0.08083438873291016, 0.049544502049684525] mean_base_height=0.1987
[JOINT_STATE step=350000] names=['j_c1_lf', 'j_c1_lm', 'j_c1_lr', 'j_c1_rf', 'j_c1_rm', 'j_c1_rr', 'j_thigh_lf', 'j_thigh_lm', 'j_thigh_lr', 'j_thigh_rf', 'j_thigh_rm', 'j_thigh_rr', 'j_tibia_lf', 'j_tibia_lm', 'j_tibia_lr', 'j_tibia_rf', 'j_tibia_rm', 'j_tibia_rr'] pos=[0.4569731652736664, 0.4668273329734802, 0.5157767534255981, -0.2876313328742981, -0.3627403676509857, -0.4967147707939148, 0.3634459376335144, 0.2426491528749466, 0.4771821200847626, 0.5414221882820129, 0.5565357208251953, 0.4595341980457306, 0.30211082100868225, 0.2715076506137848, 0.7611430883407593, 0.31093689799308777, 0.5030818581581116, 0.6140278577804565] lin_vel_b=[0.06856036186218262, 0.014802396297454834, 0.01697012595832348] ang_vel_b=[0.06724438071250916, -0.13294188678264618, 0.09287191182374954] mean_base_height=0.1985
[JOINT_STATE step=400000] names=['j_c1_lf', 'j_c1_lm', 'j_c1_lr', 'j_c1_rf', 'j_c1_rm', 'j_c1_rr', 'j_thigh_lf', 'j_thigh_lm', 'j_thigh_lr', 'j_thigh_rf', 'j_thigh_rm', 'j_thigh_rr', 'j_tibia_lf', 'j_tibia_lm', 'j_tibia_lr', 'j_tibia_rf', 'j_tibia_rm', 'j_tibia_rr'] pos=[0.2982109487056732, 0.21032001078128815, 0.5407564640045166, -0.3408106863498688, -0.4185877740383148, -0.4799066185951233, 0.35705602169036865, 0.2425803393125534, 0.44919639825820923, 0.6175698637962341, 0.4989270269870758, 0.3064858317375183, 0.2002655565738678, 0.17322367429733276, 0.7439309358596802, 0.31285595893859863, 0.46443235874176025, 0.23512336611747742] lin_vel_b=[0.08879338949918747, 0.020546551793813705, 0.03977680578827858] ang_vel_b=[0.010849937796592712, 0.10088136047124863, -0.3066098690032959] mean_base_height=0.1989
[JOINT_STATE step=450000] names=['j_c1_lf', 'j_c1_lm', 'j_c1_lr', 'j_c1_rf', 'j_c1_rm', 'j_c1_rr', 'j_thigh_lf', 'j_thigh_lm', 'j_thigh_lr', 'j_thigh_rf', 'j_thigh_rm', 'j_thigh_rr', 'j_tibia_lf', 'j_tibia_lm', 'j_tibia_lr', 'j_tibia_rf', 'j_tibia_rm', 'j_tibia_rr'] pos=[0.26224932074546814, 0.1987932324409485, 0.5448642373085022, -0.3168635964393616, -0.4392125904560089, -0.47751834988594055, 0.35535070300102234, 0.237035870552063, 0.45677998661994934, 0.609585702419281, 0.474612832069397, 0.28952112793922424, 0.20214560627937317, 0.160025492310524, 0.7671577334403992, 0.29354411363601685, 0.44056254625320435, 0.21622006595134735] lin_vel_b=[0.09825065732002258, 0.027681119740009308, 0.04577820748090744] ang_vel_b=[-0.003161439672112465, 0.08532872796058655, -0.35542774200439453] mean_base_height=0.1991
[JOINT_STATE step=500000] names=['j_c1_lf', 'j_c1_lm', 'j_c1_lr', 'j_c1_rf', 'j_c1_rm', 'j_c1_rr', 'j_thigh_lf', 'j_thigh_lm', 'j_thigh_lr', 'j_thigh_rf', 'j_thigh_rm', 'j_thigh_rr', 'j_tibia_lf', 'j_tibia_lm', 'j_tibia_lr', 'j_tibia_rf', 'j_tibia_rm', 'j_tibia_rr'] pos=[0.3106469511985779, 0.22153522074222565, 0.5437236428260803, -0.30481645464897156, -0.4116210341453552, -0.48209148645401, 0.35429054498672485, 0.2412658929824829, 0.45493564009666443, 0.6134177446365356, 0.5075826644897461, 0.3057912290096283, 0.20552293956279755, 0.1619323045015335, 0.7508969902992249, 0.33511751890182495, 0.48927462100982666, 0.21343614161014557] lin_vel_b=[0.09272255748510361, 0.03543058782815933, 0.042265187948942184] ang_vel_b=[0.030651582404971123, 0.005825936794281006, -0.29572439193725586] mean_base_height=0.1992
