[JOINT_STATE step=0] names=['j_c1_lf', 'j_c1_lm', 'j_c1_lr', 'j_c1_rf', 'j_c1_rm', 'j_c1_rr', 'j_thigh_lf', 'j_thigh_lm', 'j_thigh_lr', 'j_thigh_rf', 'j_thigh_rm', 'j_thigh_rr', 'j_tibia_lf', 'j_tibia_lm', 'j_tibia_lr', 'j_tibia_rf', 'j_tibia_rm', 'j_tibia_rr'] pos=[-0.09246624261140823, -0.042534422129392624, -0.26438459753990173, 0.01451838668435812, -0.012086640112102032, -0.05797257646918297, -1.2622851133346558, -1.232838749885559, -1.307454228401184, -1.2363144159317017, -1.3671051263809204, -0.9734495878219604, -0.9688315391540527, -1.0184189081192017, -0.8713357448577881, -0.8818047046661377, -1.01270592212677, -0.8783109188079834] lin_vel_b=[0.0, 0.0, 0.0] ang_vel_b=[0.0, 0.0, 0.0] mean_base_height=0.1702
[JOINT_STATE step=50000] names=['j_c1_lf', 'j_c1_lm', 'j_c1_lr', 'j_c1_rf', 'j_c1_rm', 'j_c1_rr', 'j_thigh_lf', 'j_thigh_lm', 'j_thigh_lr', 'j_thigh_rf', 'j_thigh_rm', 'j_thigh_rr', 'j_tibia_lf', 'j_tibia_lm', 'j_tibia_lr', 'j_tibia_rf', 'j_tibia_rm', 'j_tibia_rr'] pos=[0.010661971755325794, -0.7552622556686401, -0.6135092973709106, -0.11076360940933228, -0.7498544454574585, -0.4439302384853363, -1.280716896057129, -1.2643835544586182, -1.3925822973251343, -1.573251485824585, -1.5801095962524414, -1.3973639011383057, -0.8984321355819702, -1.429618000984192, -1.2439643144607544, -1.5587338209152222, -1.4121479988098145, -1.4885220527648926] lin_vel_b=[0.04357919469475746, 0.03593761473894119, 0.026134544983506203] ang_vel_b=[0.10921984165906906, -0.015954863280057907, 0.05531888082623482] mean_base_height=0.1002
[JOINT_STATE step=100000] names=['j_c1_lf', 'j_c1_lm', 'j_c1_lr', 'j_c1_rf', 'j_c1_rm', 'j_c1_rr', 'j_thigh_lf', 'j_thigh_lm', 'j_thigh_lr', 'j_thigh_rf', 'j_thigh_rm', 'j_thigh_rr', 'j_tibia_lf', 'j_tibia_lm', 'j_tibia_lr', 'j_tibia_rf', 'j_tibia_rm', 'j_tibia_rr'] pos=[-0.2969689667224884, 0.717238187789917, -0.5722944736480713, -0.23478880524635315, 0.7521842122077942, -0.13628961145877838, -0.9375059008598328, -1.1146055459976196, -1.4113011360168457, -0.9407362341880798, -1.294621229171753, -1.4946893453598022, -0.8926298022270203, -1.063055396080017, -1.5215513706207275, -0.9121878743171692, -1.2557321786880493, -1.4165723323822021] lin_vel_b=[0.03556735813617706, -0.02923811599612236, 0.0061063203029334545] ang_vel_b=[-0.22338856756687164, -0.05314838886260986, -0.1923282891511917] mean_base_height=0.1063
[JOINT_STATE step=150000] names=['j_c1_lf', 'j_c1_lm', 'j_c1_lr', 'j_c1_rf', 'j_c1_rm', 'j_c1_rr', 'j_thigh_lf', 'j_thigh_lm', 'j_thigh_lr', 'j_thigh_rf', 'j_thigh_rm', 'j_thigh_rr', 'j_tibia_lf', 'j_tibia_lm', 'j_tibia_lr', 'j_tibia_rf', 'j_tibia_rm', 'j_tibia_rr'] pos=[-0.359442800283432, 0.7334137558937073, -0.39401698112487793, -0.7016749978065491, 0.7427213788032532, -0.6748392581939697, -0.9295668005943298, -0.8328171968460083, -1.0781245231628418, -1.2295000553131104, -1.3840811252593994, -1.4217795133590698, -1.0234806537628174, -0.8225744962692261, -1.4340219497680664, -1.3343762159347534, -1.0967851877212524, -1.3339647054672241] lin_vel_b=[0.039755795150995255, -0.06528966128826141, -0.0035093752667307854] ang_vel_b=[-0.026517353951931, 0.0240499135106802, -0.12435087561607361] mean_base_height=0.1104
[JOINT_STATE step=200000] names=['j_c1_lf', 'j_c1_lm', 'j_c1_lr', 'j_c1_rf', 'j_c1_rm', 'j_c1_rr', 'j_thigh_lf', 'j_thigh_lm', 'j_thigh_lr', 'j_thigh_rf', 'j_thigh_rm', 'j_thigh_rr', 'j_tibia_lf', 'j_tibia_lm', 'j_tibia_lr', 'j_tibia_rf', 'j_tibia_rm', 'j_tibia_rr'] pos=[-0.7460570335388184, 0.5637666583061218, -0.673588752746582, -0.5467734336853027, 0.39264383912086487, -0.6702720522880554, -0.513937771320343, -0.797598659992218, -0.9691036939620972, -1.088415265083313, -1.362449288368225, -1.3054261207580566, -0.5784153342247009, -0.7492982745170593, -1.2896801233291626, -1.1522247791290283, -1.383893609046936, -0.976244330406189] lin_vel_b=[0.03939618915319443, -0.0991520881652832, 0.08715827018022537] ang_vel_b=[-0.3472912907600403, 0.3807254433631897, -0.28298693895339966] mean_base_height=0.1156
[JOINT_STATE step=250000] names=['j_c1_lf', 'j_c1_lm', 'j_c1_lr', 'j_c1_rf', 'j_c1_rm', 'j_c1_rr', 'j_thigh_lf', 'j_thigh_lm', 'j_thigh_lr', 'j_thigh_rf', 'j_thigh_rm', 'j_thigh_rr', 'j_tibia_lf', 'j_tibia_lm', 'j_tibia_lr', 'j_tibia_rf', 'j_tibia_rm', 'j_tibia_rr'] pos=[-0.7459664940834045, 0.581412672996521, -0.643182635307312, -0.5615712404251099, 0.7188261151313782, -0.756464958190918, -0.4780346751213074, -0.9519203901290894, -0.9023955464363098, -0.9836122989654541, -1.0438261032104492, -1.3102720975875854, -0.4230181872844696, -0.9230365753173828, -1.1963058710098267, -1.0157504081726074, -1.3133227825164795, -1.1168173551559448] lin_vel_b=[0.041482631117105484, -0.05599115043878555, 0.04069776087999344] ang_vel_b=[0.03608080744743347, 0.2503161132335663, 0.04376696050167084] mean_base_height=0.1164
[JOINT_STATE step=300000] names=['j_c1_lf', 'j_c1_lm', 'j_c1_lr', 'j_c1_rf', 'j_c1_rm', 'j_c1_rr', 'j_thigh_lf', 'j_thigh_lm', 'j_thigh_lr', 'j_thigh_rf', 'j_thigh_rm', 'j_thigh_rr', 'j_tibia_lf', 'j_tibia_lm', 'j_tibia_lr', 'j_tibia_rf', 'j_tibia_rm', 'j_tibia_rr'] pos=[-0.29874512553215027, 0.7223346829414368, -0.6989660859107971, -0.6920297145843506, 0.7511622309684753, -0.6799898147583008, -0.49022525548934937, -0.8886916041374207, -1.0820518732070923, -0.8400281071662903, -1.2710977792739868, -0.719060480594635, -0.11684422940015793, -0.8848665952682495, -1.2904644012451172, -1.090989351272583, -1.0355629920959473, -0.5503677129745483] lin_vel_b=[0.050294846296310425, -0.06538338959217072, 0.018076755106449127] ang_vel_b=[-0.052182361483573914, -0.0020148642361164093, -0.09218202531337738] mean_base_height=0.1165
[JOINT_STATE step=350000] names=['j_c1_lf', 'j_c1_lm', 'j_c1_lr', 'j_c1_rf', 'j_c1_rm', 'j_c1_rr', 'j_thigh_lf', 'j_thigh_lm', 'j_thigh_lr', 'j_thigh_rf', 'j_thigh_rm', 'j_thigh_rr', 'j_tibia_lf', 'j_tibia_lm', 'j_tibia_lr', 'j_tibia_rf', 'j_tibia_rm', 'j_tibia_rr'] pos=[0.5886223912239075, 0.7297411561012268, -0.7187018394470215, -0.6500959396362305, 0.7503413558006287, -0.6584267020225525, -0.47880128026008606, -0.8455334305763245, -1.1600382328033447, -0.8232959508895874, -1.2431083917617798, -0.7307583689689636, -0.18293830752372742, -0.9447106122970581, -1.3821141719818115, -1.101806402206421, -0.8015871047973633, -0.5124845504760742] lin_vel_b=[0.0487431064248085, -0.05632559210062027, 0.01601218618452549] ang_vel_b=[-0.07747327536344528, 0.0140361487865448, -0.005450959783047438] mean_base_height=0.1177
[JOINT_STATE step=400000] names=['j_c1_lf', 'j_c1_lm', 'j_c1_lr', 'j_c1_rf', 'j_c1_rm', 'j_c1_rr', 'j_thigh_lf', 'j_thigh_lm', 'j_thigh_lr', 'j_thigh_rf', 'j_thigh_rm', 'j_thigh_rr', 'j_tibia_lf', 'j_tibia_lm', 'j_tibia_lr', 'j_tibia_rf', 'j_tibia_rm', 'j_tibia_rr'] pos=[0.5939890742301941, 0.6938854455947876, -0.684033989906311, -0.35505664348602295, 0.7485657334327698, -0.7813280820846558, -0.4699455201625824, -0.8052250742912292, -0.992781937122345, -0.7890229225158691, -1.4150364398956299, -0.8013346791267395, -0.24776168167591095, -0.8529535531997681, -1.330984354019165, -1.0474048852920532, -0.5042495727539062, -0.5483837127685547] lin_vel_b=[0.09810305386781693, -0.03735891729593277, 0.010259482078254223] ang_vel_b=[-0.05091021582484245, -0.008651107549667358, 0.007363562472164631] mean_base_height=0.1187
[JOINT_STATE step=450000] names=['j_c1_lf', 'j_c1_lm', 'j_c1_lr', 'j_c1_rf', 'j_c1_rm', 'j_c1_rr', 'j_thigh_lf', 'j_thigh_lm', 'j_thigh_lr', 'j_thigh_rf', 'j_thigh_rm', 'j_thigh_rr', 'j_tibia_lf', 'j_tibia_lm', 'j_tibia_lr', 'j_tibia_rf', 'j_tibia_rm', 'j_tibia_rr'] pos=[0.6109868288040161, 0.6621822118759155, -0.6384851336479187, -0.3370624780654907, 0.7077500820159912, -0.7652717232704163, -0.47527462244033813, -0.7656294703483582, -1.0741021633148193, -0.7909086346626282, -1.3072571754455566, -0.829055666923523, -0.32204529643058777, -0.943408191204071, -1.2161976099014282, -0.9810134768486023, -0.50373375415802, -0.5764389634132385] lin_vel_b=[0.08954509347677231, -0.011644259095191956, 0.0177236907184124] ang_vel_b=[0.01657445728778839, -0.008512345142662525, 0.03927069529891014] mean_base_height=0.1207
[JOINT_STATE step=500000] names=['j_c1_lf', 'j_c1_lm', 'j_c1_lr', 'j_c1_rf', 'j_c1_rm', 'j_c1_rr', 'j_thigh_lf', 'j_thigh_lm', 'j_thigh_lr', 'j_thigh_rf', 'j_thigh_rm', 'j_thigh_rr', 'j_tibia_lf', 'j_tibia_lm', 'j_tibia_lr', 'j_tibia_rf', 'j_tibia_rm', 'j_tibia_rr'] pos=[0.1779288798570633, 0.28351497650146484, -0.5024724006652832, -0.21728084981441498, 0.7195276021957397, -0.7369780540466309, -0.5636621713638306, -0.8445632457733154, -0.8997994661331177, -0.8309226632118225, -0.9238234758377075, -0.8953458666801453, -0.31418901681900024, -1.1204015016555786, -1.0160962343215942, -0.8638888001441956, -1.1113382577896118, -0.9035302996635437] lin_vel_b=[0.16867278516292572, -0.036705657839775085, 0.026649463921785355] ang_vel_b=[-0.02948307804763317, 0.010090086609125137, -0.33454081416130066] mean_base_height=0.1212
