[JOINT_STATE step=0] names=['j_c1_lf', 'j_c1_lm', 'j_c1_lr', 'j_c1_rf', 'j_c1_rm', 'j_c1_rr', 'j_thigh_lf', 'j_thigh_lm', 'j_thigh_lr', 'j_thigh_rf', 'j_thigh_rm', 'j_thigh_rr', 'j_tibia_lf', 'j_tibia_lm', 'j_tibia_lr', 'j_tibia_rf', 'j_tibia_rm', 'j_tibia_rr'] pos=[0.01808258332312107, -0.05522627755999565, 0.09238133579492569, -0.07349704951047897, 0.13799946010112762, 0.08676306903362274, -1.1870344877243042, -1.2940640449523926, -1.1189091205596924, -1.1117949485778809, -1.301326036453247, -1.236336350440979, -0.9489919543266296, -0.9582145810127258, -1.0688769817352295, -1.0134663581848145, -1.031126856803894, -0.8208362460136414] lin_vel_b=[0.0, 0.0, 0.0] ang_vel_b=[0.0, 0.0, 0.0] mean_base_height=0.1705
[JOINT_STATE step=50000] names=['j_c1_lf', 'j_c1_lm', 'j_c1_lr', 'j_c1_rf', 'j_c1_rm', 'j_c1_rr', 'j_thigh_lf', 'j_thigh_lm', 'j_thigh_lr', 'j_thigh_rf', 'j_thigh_rm', 'j_thigh_rr', 'j_tibia_lf', 'j_tibia_lm', 'j_tibia_lr', 'j_tibia_rf', 'j_tibia_rm', 'j_tibia_rr'] pos=[-0.19158706068992615, 0.521007239818573, 0.49418923258781433, -0.43191662430763245, -0.537973165512085, -0.4665256142616272, -0.8576557040214539, -0.9907783269882202, -0.7263829112052917, -0.7590868473052979, -1.0558961629867554, -1.208361029624939, -1.0251401662826538, -0.9881900548934937, -0.3185720145702362, -1.2994784116744995, -0.9977104067802429, -1.1632875204086304] lin_vel_b=[0.0004504192329477519, -0.00902362260967493, 0.01612698659300804] ang_vel_b=[-0.01987100951373577, 0.006404199171811342, 0.004400603007525206] mean_base_height=0.1125
[JOINT_STATE step=100000] names=['j_c1_lf', 'j_c1_lm', 'j_c1_lr', 'j_c1_rf', 'j_c1_rm', 'j_c1_rr', 'j_thigh_lf', 'j_thigh_lm', 'j_thigh_lr', 'j_thigh_rf', 'j_thigh_rm', 'j_thigh_rr', 'j_tibia_lf', 'j_tibia_lm', 'j_tibia_lr', 'j_tibia_rf', 'j_tibia_rm', 'j_tibia_rr'] pos=[-0.4894786775112152, 0.4912930130958557, 0.4457581341266632, 0.2403918206691742, -0.11707738041877747, 0.4946923851966858, -0.7631756663322449, -0.9742940664291382, -0.8005262017250061, -0.8025787472724915, -1.021824598312378, -1.3324085474014282, -0.9367207288742065, -1.084625005722046, -0.4616788327693939, -1.1095685958862305, -1.0912752151489258, -1.3005849123001099] lin_vel_b=[0.011198053136467934, 0.011739709414541721, 0.01225266419351101] ang_vel_b=[-0.006419573910534382, -0.0019130174769088626, 0.04352016746997833] mean_base_height=0.1132
[JOINT_STATE step=150000] names=['j_c1_lf', 'j_c1_lm', 'j_c1_lr', 'j_c1_rf', 'j_c1_rm', 'j_c1_rr', 'j_thigh_lf', 'j_thigh_lm', 'j_thigh_lr', 'j_thigh_rf', 'j_thigh_rm', 'j_thigh_rr', 'j_tibia_lf', 'j_tibia_lm', 'j_tibia_lr', 'j_tibia_rf', 'j_tibia_rm', 'j_tibia_rr'] pos=[-0.5025092959403992, -0.36680468916893005, -0.12572218477725983, -0.006653959397226572, -0.1321949064731598, -0.30140966176986694, -0.88409823179245, -0.794305145740509, -0.9292377233505249, -0.7439398765563965, -0.8958759903907776, -1.275712251663208, -1.1820149421691895, -0.4392436742782593, -0.47202780842781067, -1.0425388813018799, -0.9534483551979065, -1.2883796691894531] lin_vel_b=[-0.00851439218968153, 0.008945828303694725, 0.020132852718234062] ang_vel_b=[0.011541681364178658, 0.02274022251367569, -0.10307548195123672] mean_base_height=0.1103
[JOINT_STATE step=200000] names=['j_c1_lf', 'j_c1_lm', 'j_c1_lr', 'j_c1_rf', 'j_c1_rm', 'j_c1_rr', 'j_thigh_lf', 'j_thigh_lm', 'j_thigh_lr', 'j_thigh_rf', 'j_thigh_rm', 'j_thigh_rr', 'j_tibia_lf', 'j_tibia_lm', 'j_tibia_lr', 'j_tibia_rf', 'j_tibia_rm', 'j_tibia_rr'] pos=[-0.49339914321899414, 0.07522979378700256, 0.4828067123889923, -0.04073340818285942, -0.23929914832115173, -0.18401914834976196, -0.8367851376533508, -1.28653085231781, -1.5708563327789307, -0.9746934175491333, -1.3820358514785767, -1.4353169202804565, -1.0691078901290894, -1.292826771736145, -1.5188593864440918, -1.1907838582992554, -1.4001115560531616, -1.3520063161849976] lin_vel_b=[0.04440487548708916, 0.03787098079919815, 0.024602962657809258] ang_vel_b=[-0.2374620884656906, 0.16025537252426147, -0.06324952840805054] mean_base_height=0.1084
[JOINT_STATE step=250000] names=['j_c1_lf', 'j_c1_lm', 'j_c1_lr', 'j_c1_rf', 'j_c1_rm', 'j_c1_rr', 'j_thigh_lf', 'j_thigh_lm', 'j_thigh_lr', 'j_thigh_rf', 'j_thigh_rm', 'j_thigh_rr', 'j_tibia_lf', 'j_tibia_lm', 'j_tibia_lr', 'j_tibia_rf', 'j_tibia_rm', 'j_tibia_rr'] pos=[-0.5010834336280823, 0.19472302496433258, 0.5000388622283936, -0.3137578070163727, -0.42152297496795654, -0.06262879073619843, -0.817068338394165, -1.3451626300811768, -1.4908366203308105, -0.899931013584137, -1.2330797910690308, -1.5832163095474243, -1.023105263710022, -1.3724359273910522, -1.4366387128829956, -1.175329566001892, -1.2276164293289185, -1.446366786956787] lin_vel_b=[0.1068301573395729, -0.022762462496757507, -0.006191776599735022] ang_vel_b=[0.10103686153888702, -0.011352457106113434, 0.07141028344631195] mean_base_height=0.1074
[JOINT_STATE step=300000] names=['j_c1_lf', 'j_c1_lm', 'j_c1_lr', 'j_c1_rf', 'j_c1_rm', 'j_c1_rr', 'j_thigh_lf', 'j_thigh_lm', 'j_thigh_lr', 'j_thigh_rf', 'j_thigh_rm', 'j_thigh_rr', 'j_tibia_lf', 'j_tibia_lm', 'j_tibia_lr', 'j_tibia_rf', 'j_tibia_rm', 'j_tibia_rr'] pos=[-0.49351441860198975, 0.1324281096458435, 0.496872216463089, -0.06676945835351944, -0.19328004121780396, 0.2901253402233124, -0.8644034266471863, -1.1007874011993408, -1.4090781211853027, -0.9430762529373169, -1.2151306867599487, -1.5150517225265503, -1.0071614980697632, -1.325933814048767, -1.3091870546340942, -1.1041079759597778, -1.2913897037506104, -1.5790729522705078] lin_vel_b=[0.11663796007633209, 0.020500123500823975, 0.05181007832288742] ang_vel_b=[-0.009957784786820412, -0.08463222533464432, -0.2236228734254837] mean_base_height=0.1101
[JOINT_STATE step=350000] names=['j_c1_lf', 'j_c1_lm', 'j_c1_lr', 'j_c1_rf', 'j_c1_rm', 'j_c1_rr', 'j_thigh_lf', 'j_thigh_lm', 'j_thigh_lr', 'j_thigh_rf', 'j_thigh_rm', 'j_thigh_rr', 'j_tibia_lf', 'j_tibia_lm', 'j_tibia_lr', 'j_tibia_rf', 'j_tibia_rm', 'j_tibia_rr'] pos=[-0.3737484812736511, 0.3177579343318939, 0.49886998534202576, 0.48678794503211975, -0.25700172781944275, 0.35882046818733215, -0.8287100195884705, -1.0243401527404785, -1.3703129291534424, -0.9612017273902893, -1.2702511548995972, -1.5809143781661987, -0.9284283518791199, -1.2758684158325195, -1.366105556488037, -1.2263444662094116, -1.2675566673278809, -1.5237213373184204] lin_vel_b=[0.10742614418268204, 0.00033567100763320923, 0.024683764204382896] ang_vel_b=[-0.11034701019525528, 0.016336441040039062, 0.1029575765132904] mean_base_height=0.1081
[JOINT_STATE step=400000] names=['j_c1_lf', 'j_c1_lm', 'j_c1_lr', 'j_c1_rf', 'j_c1_rm', 'j_c1_rr', 'j_thigh_lf', 'j_thigh_lm', 'j_thigh_lr', 'j_thigh_rf', 'j_thigh_rm', 'j_thigh_rr', 'j_tibia_lf', 'j_tibia_lm', 'j_tibia_lr', 'j_tibia_rf', 'j_tibia_rm', 'j_tibia_rr'] pos=[-0.27188852429389954, 0.1425314098596573, 0.21148882806301117, 0.5108793377876282, 0.05656430870294571, -0.017225926741957664, -1.021712303161621, -1.0577245950698853, -1.295007586479187, -0.9252114295959473, -1.2718415260314941, -1.0766425132751465, -0.8484100103378296, -1.2324745655059814, -1.1916909217834473, -1.2522915601730347, -1.1571463346481323, -1.2599393129348755] lin_vel_b=[0.19227200746536255, -0.07083562016487122, 0.03202063962817192] ang_vel_b=[0.0698905736207962, 0.16101057827472687, 0.1020321398973465] mean_base_height=0.1116
[JOINT_STATE step=450000] names=['j_c1_lf', 'j_c1_lm', 'j_c1_lr', 'j_c1_rf', 'j_c1_rm', 'j_c1_rr', 'j_thigh_lf', 'j_thigh_lm', 'j_thigh_lr', 'j_thigh_rf', 'j_thigh_rm', 'j_thigh_rr', 'j_tibia_lf', 'j_tibia_lm', 'j_tibia_lr', 'j_tibia_rf', 'j_tibia_rm', 'j_tibia_rr'] pos=[-0.43695634603500366, 0.20801319181919098, 0.4568769633769989, 0.490652859210968, -0.11980925500392914, -0.19492772221565247, -1.1832218170166016, -1.0685011148452759, -1.4305905103683472, -0.9301154613494873, -1.4111100435256958, -1.2459580898284912, -1.0263086557388306, -1.2087777853012085, -1.3077540397644043, -1.1726548671722412, -1.318576455116272, -1.2645078897476196] lin_vel_b=[0.18662899732589722, -0.07498593628406525, 0.03530129790306091] ang_vel_b=[0.02226690948009491, 0.1423143893480301, 0.07946644723415375] mean_base_height=0.1099
[JOINT_STATE step=500000] names=['j_c1_lf', 'j_c1_lm', 'j_c1_lr', 'j_c1_rf', 'j_c1_rm', 'j_c1_rr', 'j_thigh_lf', 'j_thigh_lm', 'j_thigh_lr', 'j_thigh_rf', 'j_thigh_rm', 'j_thigh_rr', 'j_tibia_lf', 'j_tibia_lm', 'j_tibia_lr', 'j_tibia_rf', 'j_tibia_rm', 'j_tibia_rr'] pos=[-0.4743056893348694, 0.2325228750705719, 0.3660288453102112, 0.48947450518608093, -0.3249431848526001, -0.144413024187088, -1.2032697200775146, -1.0765749216079712, -1.4603790044784546, -0.9322449564933777, -1.4405430555343628, -1.151248574256897, -0.9070661664009094, -1.1454358100891113, -1.3200255632400513, -1.0919914245605469, -1.226547122001648, -1.1812502145767212] lin_vel_b=[0.18731126189231873, -0.09349395334720612, 0.03114216774702072] ang_vel_b=[-0.010794328525662422, 0.04955573007464409, 0.14100049436092377] mean_base_height=0.1100
