step	log_std_min	log_std_mean	log_std_max	std_min	std_mean	std_max	entropy_loss	learning_rate	tensorboard_std_mean
120	-1.999859	-1.997707	-1.996003	0.135354	0.135646	0.135877	0.052099000103771685	2.6337448559670777e-05	0.13564468920230865
240	-1.999446	-1.997015	-1.994199	0.135410	0.135740	0.136123	0.05203129760921001	2.6337448559670777e-05	0.13573920726776123
360	-2.000444	-1.996478	-1.992692	0.135275	0.135813	0.136328	0.05198462400585413	2.6337448559670777e-05	0.1358124315738678
480	-2.001818	-1.996254	-1.992590	0.135090	0.135844	0.136342	0.051964161172509196	2.6337448559670777e-05	0.13584290444850922
600	-2.001096	-1.995628	-1.991077	0.135187	0.135929	0.136548	0.051914395019412043	2.6337448559670777e-05	0.13592708110809326
720	-2.000363	-1.995040	-1.988420	0.135286	0.136009	0.136912	0.05185144934803247	2.6337448559670777e-05	0.13600856065750122
840	-1.999786	-1.994303	-1.986725	0.135364	0.136109	0.137144	0.05179217886179686	2.6337448559670777e-05	0.13610787689685822
960	-1.999762	-1.994060	-1.987520	0.135368	0.136142	0.137035	0.051761692576110366	2.6337448559670777e-05	0.13614203035831451
1080	-1.999404	-1.993648	-1.985764	0.135416	0.136198	0.137276	0.05172544922679663	2.6337448559670777e-05	0.13619837164878845
1200	-1.999579	-1.993360	-1.984974	0.135392	0.136238	0.137384	0.05170421097427606	2.6337448559670777e-05	0.13623684644699097
1320	-1.999344	-1.992882	-1.984293	0.135424	0.136303	0.137478	0.05165983960032463	3.9506172839506166e-05	0.1363019198179245
1440	-1.998557	-1.992256	-1.980956	0.135531	0.136389	0.137937	0.051599277555942534	2.6337448559670777e-05	0.1363886296749115
1560	-1.998141	-1.991874	-1.979264	0.135587	0.136441	0.138171	0.051568593829870224	3.9506172839506166e-05	0.1364402025938034
1680	-1.997382	-1.991513	-1.978984	0.135690	0.136490	0.138210	0.051538086123764516	3.9506172839506166e-05	0.1364891678094864
1800	-1.998502	-1.991183	-1.978363	0.135538	0.136535	0.138295	0.05150449313223362	3.9506172839506166e-05	0.13653500378131866
1920	-1.997312	-1.990970	-1.977033	0.135700	0.136564	0.138479	0.05148130040615797	3.9506172839506166e-05	0.13656480610370636
2040	-1.997003	-1.990460	-1.977095	0.135741	0.136634	0.138471	0.051439573243260386	2.6337448559670777e-05	0.1366337388753891
2160	-1.998490	-1.990302	-1.977161	0.135540	0.136656	0.138462	0.05142268594354391	3.9506172839506166e-05	0.13665588200092316
2280	-1.999688	-1.990260	-1.976431	0.135378	0.136662	0.138563	0.051421907171607016	3.9506172839506166e-05	0.13666124641895294
2400	-2.000005	-1.990224	-1.976081	0.135335	0.136667	0.138611	0.051415634155273435	3.9506172839506166e-05	0.13666687905788422
2520	-2.000933	-1.990358	-1.976282	0.135209	0.136649	0.138584	0.05142908673733473	2.6337448559670777e-05	0.13664864003658295
2640	-2.001022	-1.990105	-1.976051	0.135197	0.136684	0.138616	0.05140341464430094	3.9506172839506166e-05	0.13668370246887207
2760	-2.002488	-1.989784	-1.974913	0.134999	0.136728	0.138773	0.051379801146686076	3.9506172839506166e-05	0.1367272585630417
2880	-2.004202	-1.989441	-1.974638	0.134768	0.136776	0.138811	0.05134868063032627	3.9506172839506166e-05	0.13677528500556946
3000	-2.004396	-1.989285	-1.973167	0.134742	0.136798	0.139016	0.05133513957262039	3.9506172839506166e-05	0.13679711520671844
3120	-2.003803	-1.989077	-1.971854	0.134822	0.136827	0.139198	0.05131915993988514	3.9506172839506166e-05	0.13682568073272705
3240	-2.004312	-1.988700	-1.971680	0.134753	0.136879	0.139223	0.05128010250627994	3.9506172839506166e-05	0.1368786096572876
3360	-2.006774	-1.988869	-1.970990	0.134422	0.136857	0.139319	0.051288047805428505	2.6337448559670777e-05	0.13685698807239532
3480	-2.006582	-1.988735	-1.969539	0.134447	0.136875	0.139521	0.05128814540803432	3.9506172839506166e-05	0.13687431812286377
3600	-2.008012	-1.988265	-1.968264	0.134255	0.136940	0.139699	0.05124712567776442	2.6337448559670777e-05	0.13693955540657043
3720	-2.008673	-1.988451	-1.967556	0.134167	0.136916	0.139798	0.051256113685667515	3.9506172839506166e-05	0.13691556453704834
3840	-2.010466	-1.988125	-1.965429	0.133926	0.136962	0.140096	0.051229335740208624	2.6337448559670777e-05	0.13696184754371643
3960	-2.011627	-1.988023	-1.964765	0.133771	0.136977	0.140189	0.05122150611132383	3.9506172839506166e-05	0.1369764506816864
4080	-2.014020	-1.988279	-1.964296	0.133451	0.136944	0.140255	0.051238653250038624	2.6337448559670777e-05	0.13694390654563904
4200	-2.015749	-1.988444	-1.964073	0.133221	0.136922	0.140286	0.051258756406605245	2.6337448559670777e-05	0.13692143559455872
4320	-2.018038	-1.988267	-1.963905	0.132916	0.136948	0.140309	0.05124204196035862	2.6337448559670777e-05	0.1369474083185196
4440	-2.021349	-1.988567	-1.963313	0.132477	0.136909	0.140393	0.05125904623419046	3.9506172839506166e-05	0.13690997660160065
4560	-2.024641	-1.988821	-1.961447	0.132041	0.136877	0.140655	0.05128441993147135	3.9506172839506166e-05	0.13687722384929657
4680	-2.025740	-1.988444	-1.960468	0.131896	0.136930	0.140793	0.05126014109700918	3.9506172839506166e-05	0.1369291990995407
4800	-2.027894	-1.988493	-1.960798	0.131612	0.136925	0.140746	0.05125486981123686	2.6337448559670777e-05	0.13692519068717957
4920	-2.029795	-1.988251	-1.958827	0.131362	0.136960	0.141024	0.051238563284277915	2.6337448559670777e-05	0.13695968687534332
5040	-2.030947	-1.988000	-1.958339	0.131211	0.136996	0.141093	0.05121561698615551	2.6337448559670777e-05	0.13699597120285034
5160	-2.034007	-1.987877	-1.957804	0.130810	0.137015	0.141168	0.05120727512985468	3.9506172839506166e-05	0.1370147317647934
5280	-2.036014	-1.987893	-1.956650	0.130548	0.137016	0.141331	0.05120123289525509	3.9506172839506166e-05	0.13701650500297546
5400	-2.037956	-1.988092	-1.955815	0.130295	0.136991	0.141449	0.05122453011572361	2.6337448559670777e-05	0.1369907557964325
5520	-2.038628	-1.988143	-1.955700	0.130207	0.136986	0.141465	0.05122918728739023	3.9506172839506166e-05	0.13698594272136688
5640	-2.040412	-1.987977	-1.954524	0.129975	0.137011	0.141632	0.051213710196316244	3.9506172839506166e-05	0.137010395526886
5760	-2.042323	-1.987871	-1.953323	0.129727	0.137029	0.141802	0.0512054106220603	2.6337448559670777e-05	0.1370290368795395
5880	-2.044545	-1.988028	-1.952554	0.129439	0.137012	0.141911	0.05121651943773031	2.6337448559670777e-05	0.13701200485229492
6000	-2.046833	-1.988114	-1.951595	0.129143	0.137004	0.142047	0.051222247816622254	3.9506172839506166e-05	0.13700434565544128
6120	-2.049275	-1.988186	-1.951123	0.128828	0.136996	0.142114	0.051232083886861804	2.6337448559670777e-05	0.13699562847614288
6240	-2.050710	-1.988225	-1.949698	0.128644	0.136993	0.142317	0.051239586621522906	3.9506172839506166e-05	0.13699276745319366
6360	-2.053944	-1.988286	-1.948533	0.128228	0.136989	0.142483	0.05124198459088802	3.9506172839506166e-05	0.13698919117450714
6480	-2.058522	-1.988530	-1.946824	0.127642	0.136961	0.142727	0.05126578360795975	3.9506172839506166e-05	0.1369601935148239
6600	-2.061814	-1.988644	-1.946505	0.127223	0.136949	0.142772	0.05127459727227688	3.9506172839506166e-05	0.1369486004114151
6720	-2.064242	-1.988573	-1.944913	0.126914	0.136962	0.143000	0.051270320825278756	3.9506172839506166e-05	0.13696138560771942
6840	-2.067306	-1.988679	-1.943657	0.126526	0.136952	0.143179	0.0512727877125144	3.9506172839506166e-05	0.13695265352725983
6960	-2.070623	-1.988767	-1.943133	0.126107	0.136944	0.143254	0.05128825418651104	2.6337448559670777e-05	0.13694384694099426
7080	-2.072524	-1.988681	-1.941657	0.125868	0.136961	0.143466	0.0512738773599267	2.6337448559670777e-05	0.1369609385728836
7200	-2.074060	-1.988951	-1.940763	0.125675	0.136927	0.143594	0.05129513293504715	3.9506172839506166e-05	0.13692842423915863
7320	-2.077067	-1.989136	-1.941199	0.125297	0.136905	0.143532	0.051312660425901414	2.6337448559670777e-05	0.13690607249736786
7440	-2.079734	-1.989367	-1.940189	0.124963	0.136877	0.143677	0.051334223523736	2.6337448559670777e-05	0.13687770068645477
7560	-2.082684	-1.989493	-1.939969	0.124595	0.136863	0.143708	0.051348775066435336	3.9506172839506166e-05	0.1368633508682251
7680	-2.085741	-1.990013	-1.939125	0.124215	0.136796	0.143830	0.05139004476368427	3.9506172839506166e-05	0.13679717481136322
7800	-2.087406	-1.990048	-1.939491	0.124008	0.136795	0.143777	0.05139755327254534	3.9506172839506166e-05	0.13679498434066772
7920	-2.089010	-1.990013	-1.938636	0.123810	0.136803	0.143900	0.05139468088746071	3.9506172839506166e-05	0.136803537607193
8040	-2.090434	-1.989837	-1.938784	0.123633	0.136831	0.143879	0.05138669665902853	3.9506172839506166e-05	0.1368294507265091
8160	-2.091205	-1.989677	-1.937230	0.123538	0.136856	0.144103	0.0513652129098773	3.9506172839506166e-05	0.13685600459575653
8280	-2.091872	-1.989460	-1.937396	0.123456	0.136888	0.144079	0.05134836435317993	3.9506172839506166e-05	0.13688847422599792
8400	-2.094590	-1.989324	-1.935384	0.123121	0.136912	0.144369	0.051332205161452295	3.9506172839506166e-05	0.13691288232803345
8520	-2.094904	-1.989370	-1.935150	0.123082	0.136909	0.144403	0.051344954036176206	3.9506172839506166e-05	0.13690753281116486
8640	-2.096073	-1.989098	-1.934189	0.122938	0.136948	0.144542	0.05131698697805405	3.9506172839506166e-05	0.136947900056839
8760	-2.097782	-1.989074	-1.931949	0.122728	0.136957	0.144866	0.05131269115954638	2.6337448559670777e-05	0.13695670664310455
8880	-2.098531	-1.989150	-1.931542	0.122636	0.136948	0.144925	0.05131858363747597	2.6337448559670777e-05	0.13694803416728973
9000	-2.099450	-1.988953	-1.930853	0.122524	0.136979	0.145024	0.051303394697606565	3.9506172839506166e-05	0.13697810471057892
9120	-2.100914	-1.988725	-1.930374	0.122345	0.137015	0.145094	0.05128375291824341	3.9506172839506166e-05	0.13701443374156952
9240	-2.100427	-1.988696	-1.929965	0.122404	0.137020	0.145153	0.051277566328644754	3.9506172839506166e-05	0.1370200514793396
9360	-2.100084	-1.988308	-1.928784	0.122446	0.137075	0.145325	0.051247669570147994	3.9506172839506166e-05	0.13707409799098969
9480	-2.101753	-1.988241	-1.928156	0.122242	0.137089	0.145416	0.051238016970455644	3.9506172839506166e-05	0.1370886266231537
9600	-2.101625	-1.988222	-1.927932	0.122258	0.137093	0.145449	0.05123669244349003	3.9506172839506166e-05	0.1370924562215805
9720	-2.101254	-1.988342	-1.926653	0.122303	0.137078	0.145635	0.05124677121639252	3.9506172839506166e-05	0.13707824051380157
9840	-2.101818	-1.988131	-1.925156	0.122234	0.137111	0.145853	0.051232651621103284	3.9506172839506166e-05	0.1371096819639206
9960	-2.102476	-1.987711	-1.924183	0.122154	0.137172	0.145995	0.05118874479085207	3.9506172839506166e-05	0.13717232644557953
10080	-2.103069	-1.987708	-1.923230	0.122081	0.137176	0.146134	0.05118713844567537	3.9506172839506166e-05	0.13717620074748993
10200	-2.103813	-1.987526	-1.921679	0.121990	0.137205	0.146361	0.051178965158760546	3.9506172839506166e-05	0.13720403611660004
10320	-2.104397	-1.987879	-1.922594	0.121919	0.137161	0.146227	0.051204190030694006	3.9506172839506166e-05	0.1371605098247528
10440	-2.104420	-1.987589	-1.921045	0.121916	0.137204	0.146454	0.051180304028093815	2.6337448559670777e-05	0.13720400631427765
10560	-2.105989	-1.987289	-1.919673	0.121725	0.137250	0.146655	0.05115299429744482	3.9506172839506166e-05	0.1372501105070114
10680	-2.106603	-1.986958	-1.920044	0.121650	0.137304	0.146601	0.0511258490383625	5.925925925925925e-05	0.1373033970594406
10800	-2.107536	-1.987041	-1.920094	0.121537	0.137297	0.146593	0.05113526303321123	3.9506172839506166e-05	0.13729634881019592
10920	-2.108352	-1.987357	-1.920384	0.121438	0.137255	0.146551	0.0511488413438201	3.9506172839506166e-05	0.1372566819190979
11040	-2.109042	-1.987284	-1.920064	0.121354	0.137270	0.146598	0.05115256533026695	2.6337448559670777e-05	0.13726916909217834
11160	-2.109275	-1.987249	-1.919355	0.121326	0.137279	0.146702	0.051144210062921046	3.9506172839506166e-05	0.1372797191143036
11280	-2.110191	-1.987340	-1.918998	0.121215	0.137271	0.146754	0.05115365255624056	3.9506172839506166e-05	0.13727135956287384
11400	-2.112633	-1.987413	-1.918719	0.120919	0.137269	0.146795	0.05116189233958721	3.9506172839506166e-05	0.1372690349817276
11520	-2.114891	-1.987497	-1.916785	0.120646	0.137261	0.147079	0.05116560272872448	5.925925925925925e-05	0.13726168870925903
11640	-2.116565	-1.987459	-1.916513	0.120445	0.137273	0.147119	0.0511688943952322	2.6337448559670777e-05	0.13727279007434845
11760	-2.118865	-1.987450	-1.914799	0.120168	0.137279	0.147371	0.05116363856941462	3.9506172839506166e-05	0.13727901875972748
11880	-2.120973	-1.987717	-1.914633	0.119915	0.137248	0.147396	0.051189213246107104	3.9506172839506166e-05	0.137247696518898
12000	-2.123440	-1.987936	-1.913315	0.119619	0.137225	0.147590	0.051203406602144244	5.925925925925925e-05	0.13722620904445648
12120	-2.125026	-1.988089	-1.913601	0.119430	0.137209	0.147548	0.05122261550277472	3.9506172839506166e-05	0.13720884919166565
12240	-2.127826	-1.988430	-1.912445	0.119096	0.137170	0.147719	0.05124308485537767	5.925925925925925e-05	0.13717208802700043
12360	-2.130570	-1.989001	-1.912970	0.118770	0.137100	0.147641	0.051300260797142984	3.9506172839506166e-05	0.1371004730463028
12480	-2.132180	-1.989259	-1.912728	0.118579	0.137070	0.147677	0.05133030898869038	3.9506172839506166e-05	0.13707001507282257
12600	-2.133253	-1.989525	-1.912050	0.118451	0.137038	0.147777	0.05135395955294371	2.6337448559670777e-05	0.1370384246110916
12720	-2.134190	-1.989639	-1.909786	0.118340	0.137029	0.148112	0.05136360116302967	3.9506172839506166e-05	0.13702908158302307
12840	-2.134394	-1.989990	-1.908844	0.118316	0.136986	0.148252	0.05139143764972687	5.925925925925925e-05	0.1369861662387848
12960	-2.134896	-1.990216	-1.908341	0.118257	0.136958	0.148326	0.051407756842672826	3.9506172839506166e-05	0.13695941865444183
13080	-2.137424	-1.990747	-1.907190	0.117958	0.136890	0.148497	0.05145337544381619	5.925925925925925e-05	0.1368912309408188
13200	-2.139699	-1.990476	-1.905684	0.117690	0.136932	0.148721	0.05144043304026127	5.925925925925925e-05	0.13693250715732574
13320	-2.142570	-1.990624	-1.904218	0.117353	0.136923	0.148939	0.0514498395845294	2.6337448559670777e-05	0.136923149228096
13440	-2.144961	-1.990546	-1.903572	0.117073	0.136942	0.149035	0.05144145619124174	3.9506172839506166e-05	0.13694213330745697
13560	-2.146059	-1.990312	-1.903109	0.116944	0.136982	0.149104	0.051419271156191826	3.9506172839506166e-05	0.13698266446590424
13680	-2.146942	-1.990539	-1.902571	0.116841	0.136957	0.149185	0.051444231905043124	3.9506172839506166e-05	0.136957049369812
13800	-2.148706	-1.990700	-1.901673	0.116635	0.136943	0.149319	0.05145522952079773	3.9506172839506166e-05	0.13694308698177338
13920	-2.149624	-1.990590	-1.899631	0.116528	0.136965	0.149624	0.051447033137083056	3.9506172839506166e-05	0.1369652897119522
14040	-2.152380	-1.990712	-1.898320	0.116207	0.136957	0.149820	0.05146180260926485	3.9506172839506166e-05	0.136956587433815
14160	-2.153935	-1.990748	-1.896594	0.116027	0.136960	0.150079	0.05146627016365528	3.9506172839506166e-05	0.13695912063121796
14280	-2.154651	-1.990838	-1.896271	0.115944	0.136956	0.150127	0.051469579339027405	3.9506172839506166e-05	0.1369556039571762
14400	-2.154969	-1.990649	-1.895292	0.115907	0.136984	0.150274	0.051455560699105264	3.9506172839506166e-05	0.13698430359363556
14520	-2.155921	-1.990778	-1.894923	0.115796	0.136974	0.150330	0.051461011916399	5.925925925925925e-05	0.13697373867034912
