[JOINT_STATE step=0] names=['j_c1_lf', 'j_c1_lm', 'j_c1_lr', 'j_c1_rf', 'j_c1_rm', 'j_c1_rr', 'j_thigh_lf', 'j_thigh_lm', 'j_thigh_lr', 'j_thigh_rf', 'j_thigh_rm', 'j_thigh_rr', 'j_tibia_lf', 'j_tibia_lm', 'j_tibia_lr', 'j_tibia_rf', 'j_tibia_rm', 'j_tibia_rr'] pos=[-0.09246624261140823, -0.042534422129392624, -0.26438459753990173, 0.01451838668435812, -0.012086640112102032, -0.05797257646918297, 0.43771490454673767, 0.46716129779815674, 0.39254581928253174, 0.4636856019496918, 0.3328949511051178, 0.7265504598617554, 0.5311684608459473, 0.48158109188079834, 0.6286642551422119, 0.6181952953338623, 0.48729407787323, 0.6216890811920166] lin_vel_b=[0.0, 0.0, 0.0] ang_vel_b=[0.0, 0.0, 0.0] mean_base_height=0.2810
[JOINT_STATE step=50000] names=['j_c1_lf', 'j_c1_lm', 'j_c1_lr', 'j_c1_rf', 'j_c1_rm', 'j_c1_rr', 'j_thigh_lf', 'j_thigh_lm', 'j_thigh_lr', 'j_thigh_rf', 'j_thigh_rm', 'j_thigh_rr', 'j_tibia_lf', 'j_tibia_lm', 'j_tibia_lr', 'j_tibia_rf', 'j_tibia_rm', 'j_tibia_rr'] pos=[0.7240917086601257, 0.6912699341773987, 0.7443459033966064, 0.50492924451828, -0.7147782444953918, -0.12404898554086685, 1.1393989324569702, 1.0704097747802734, 1.115363597869873, 1.1523520946502686, 1.0915886163711548, 0.42543745040893555, 0.8783896565437317, 0.44352421164512634, 1.5877270698547363, 1.1387306451797485, 1.521743893623352, 0.6933751106262207] lin_vel_b=[0.010659916326403618, 0.02520865388214588, -0.023222077637910843] ang_vel_b=[0.2173684984445572, -0.025615155696868896, 0.3044211268424988] mean_base_height=0.1994
[JOINT_STATE step=100000] names=['j_c1_lf', 'j_c1_lm', 'j_c1_lr', 'j_c1_rf', 'j_c1_rm', 'j_c1_rr', 'j_thigh_lf', 'j_thigh_lm', 'j_thigh_lr', 'j_thigh_rf', 'j_thigh_rm', 'j_thigh_rr', 'j_tibia_lf', 'j_tibia_lm', 'j_tibia_lr', 'j_tibia_rf', 'j_tibia_rm', 'j_tibia_rr'] pos=[0.7595385313034058, 0.6995294690132141, 0.7255038022994995, 0.720303475856781, -0.773314893245697, -0.2318909764289856, 1.194750428199768, 0.9377698302268982, 1.1481249332427979, 1.228214144706726, 0.9655462503433228, 0.23542232811450958, 1.148671269416809, 0.3627849519252777, 1.6393336057662964, 1.106274127960205, 1.3082033395767212, 0.24803543090820312] lin_vel_b=[0.003920362796634436, 0.0175830889493227, 0.0318162627518177] ang_vel_b=[0.09196549654006958, 0.23139403760433197, -0.022174637764692307] mean_base_height=0.2015
[JOINT_STATE step=150000] names=['j_c1_lf', 'j_c1_lm', 'j_c1_lr', 'j_c1_rf', 'j_c1_rm', 'j_c1_rr', 'j_thigh_lf', 'j_thigh_lm', 'j_thigh_lr', 'j_thigh_rf', 'j_thigh_rm', 'j_thigh_rr', 'j_tibia_lf', 'j_tibia_lm', 'j_tibia_lr', 'j_tibia_rf', 'j_tibia_rm', 'j_tibia_rr'] pos=[0.760229229927063, 0.6806116104125977, 0.7358452677726746, 0.7466740608215332, -0.7219827771186829, -0.7485933303833008, 0.6603277921676636, 0.3135554790496826, 0.4122066795825958, 0.6653786897659302, -0.1008816733956337, 0.5568972229957581, 0.3857225179672241, 0.1477317363023758, 0.9619414806365967, 0.5236703753471375, -0.12600314617156982, 1.2604198455810547] lin_vel_b=[0.02753673493862152, -0.01510845497250557, 0.024778591468930244] ang_vel_b=[0.15504667162895203, -0.02926381304860115, -0.14559143781661987] mean_base_height=0.1857
[JOINT_STATE step=200000] names=['j_c1_lf', 'j_c1_lm', 'j_c1_lr', 'j_c1_rf', 'j_c1_rm', 'j_c1_rr', 'j_thigh_lf', 'j_thigh_lm', 'j_thigh_lr', 'j_thigh_rf', 'j_thigh_rm', 'j_thigh_rr', 'j_tibia_lf', 'j_tibia_lm', 'j_tibia_lr', 'j_tibia_rf', 'j_tibia_rm', 'j_tibia_rr'] pos=[0.7650370597839355, 0.5463073253631592, 0.7123955488204956, -0.3232492506504059, -0.2356523722410202, -0.759450376033783, 0.39519035816192627, 0.24196715652942657, 0.19586482644081116, 0.8244172930717468, 0.43035632371902466, 0.5632266998291016, 0.305696964263916, 0.2832847237586975, 0.5058843493461609, 0.5757787823677063, 0.4211460053920746, 0.9994561076164246] lin_vel_b=[0.1724170595407486, -0.01366916298866272, 0.01751301810145378] ang_vel_b=[-0.018749374896287918, -0.04626818001270294, 0.16040775179862976] mean_base_height=0.1880
[JOINT_STATE step=250000] names=['j_c1_lf', 'j_c1_lm', 'j_c1_lr', 'j_c1_rf', 'j_c1_rm', 'j_c1_rr', 'j_thigh_lf', 'j_thigh_lm', 'j_thigh_lr', 'j_thigh_rf', 'j_thigh_rm', 'j_thigh_rr', 'j_tibia_lf', 'j_tibia_lm', 'j_tibia_lr', 'j_tibia_rf', 'j_tibia_rm', 'j_tibia_rr'] pos=[0.7772164940834045, 0.6983435153961182, 0.6738342642784119, -0.638556718826294, -0.5422274470329285, -0.7056284546852112, 0.33589619398117065, 0.2518123388290405, 0.5061777830123901, 0.554212212562561, 0.5479520559310913, 0.7691423296928406, 0.2889154851436615, 0.23093517124652863, 0.7596667408943176, 0.36101001501083374, 0.316714346408844, 1.1220602989196777] lin_vel_b=[0.06265565007925034, 0.010172754526138306, -0.008970522321760654] ang_vel_b=[0.3982199430465698, 0.032233498990535736, 0.29583391547203064] mean_base_height=0.1863
[JOINT_STATE step=300000] names=['j_c1_lf', 'j_c1_lm', 'j_c1_lr', 'j_c1_rf', 'j_c1_rm', 'j_c1_rr', 'j_thigh_lf', 'j_thigh_lm', 'j_thigh_lr', 'j_thigh_rf', 'j_thigh_rm', 'j_thigh_rr', 'j_tibia_lf', 'j_tibia_lm', 'j_tibia_lr', 'j_tibia_rf', 'j_tibia_rm', 'j_tibia_rr'] pos=[0.79443359375, 0.7209199666976929, 0.667648434638977, -0.659846305847168, -0.48523250222206116, -0.7516263723373413, 0.039519913494586945, 0.012035369873046875, 0.4424070119857788, 0.414356529712677, 0.39314886927604675, 0.8879020810127258, -0.04015330225229263, 0.08131962269544601, 0.8345310091972351, 0.23305565118789673, 0.24429620802402496, 1.3753386735916138] lin_vel_b=[0.04909833148121834, 0.0037261024117469788, 0.060441192239522934] ang_vel_b=[0.0905856341123581, 0.0914103090763092, 0.17532417178153992] mean_base_height=0.1804
[JOINT_STATE step=350000] names=['j_c1_lf', 'j_c1_lm', 'j_c1_lr', 'j_c1_rf', 'j_c1_rm', 'j_c1_rr', 'j_thigh_lf', 'j_thigh_lm', 'j_thigh_lr', 'j_thigh_rf', 'j_thigh_rm', 'j_thigh_rr', 'j_tibia_lf', 'j_tibia_lm', 'j_tibia_lr', 'j_tibia_rf', 'j_tibia_rm', 'j_tibia_rr'] pos=[0.7764796018600464, 0.7068703770637512, 0.7036623358726501, -0.6300108432769775, -0.47876688838005066, -0.6530683040618896, -0.08120972663164139, -0.09558386355638504, 0.29578882455825806, 0.42419734597206116, 0.387401819229126, 0.7387261390686035, -0.09767372906208038, -0.009576358832418919, 0.7300035357475281, 0.22200432419776917, 0.22325646877288818, 1.14594566822052] lin_vel_b=[0.0956045463681221, 0.011538065969944, 0.0632053092122078] ang_vel_b=[0.29775911569595337, -0.04651522636413574, -0.10028847306966782] mean_base_height=0.1763
[JOINT_STATE step=400000] names=['j_c1_lf', 'j_c1_lm', 'j_c1_lr', 'j_c1_rf', 'j_c1_rm', 'j_c1_rr', 'j_thigh_lf', 'j_thigh_lm', 'j_thigh_lr', 'j_thigh_rf', 'j_thigh_rm', 'j_thigh_rr', 'j_tibia_lf', 'j_tibia_lm', 'j_tibia_lr', 'j_tibia_rf', 'j_tibia_rm', 'j_tibia_rr'] pos=[0.7967408895492554, 0.7139477133750916, 0.5972904562950134, -0.6323645114898682, -0.5185092091560364, -0.7396802306175232, -0.2425437718629837, -0.15391677618026733, 0.33710020780563354, 0.24860963225364685, 0.29094234108924866, 0.6488191485404968, -0.21372410655021667, -0.049412429332733154, 0.7026007175445557, 0.09001319110393524, 0.1407444179058075, 1.0118281841278076] lin_vel_b=[0.031160399317741394, 0.0004307786002755165, 0.02657543122768402] ang_vel_b=[-0.04256094992160797, 0.17736870050430298, -0.19964009523391724] mean_base_height=0.1753
[JOINT_STATE step=450000] names=['j_c1_lf', 'j_c1_lm', 'j_c1_lr', 'j_c1_rf', 'j_c1_rm', 'j_c1_rr', 'j_thigh_lf', 'j_thigh_lm', 'j_thigh_lr', 'j_thigh_rf', 'j_thigh_rm', 'j_thigh_rr', 'j_tibia_lf', 'j_tibia_lm', 'j_tibia_lr', 'j_tibia_rf', 'j_tibia_rm', 'j_tibia_rr'] pos=[0.8100467920303345, 0.7278733849525452, 0.5121315121650696, -0.6645498871803284, -0.5322505235671997, -0.7390300631523132, -0.3238026201725006, -0.18050265312194824, 0.45148563385009766, 0.21379320323467255, 0.3384014070034027, 0.7017360925674438, -0.21460981667041779, -0.08083853870630264, 0.8509278297424316, 0.11120857298374176, 0.18802624940872192, 1.0251190662384033] lin_vel_b=[0.061137691140174866, 0.02276356890797615, 0.05406293272972107] ang_vel_b=[0.18267211318016052, 0.18318861722946167, 0.04489346593618393] mean_base_height=0.1701
[JOINT_STATE step=500000] names=['j_c1_lf', 'j_c1_lm', 'j_c1_lr', 'j_c1_rf', 'j_c1_rm', 'j_c1_rr', 'j_thigh_lf', 'j_thigh_lm', 'j_thigh_lr', 'j_thigh_rf', 'j_thigh_rm', 'j_thigh_rr', 'j_tibia_lf', 'j_tibia_lm', 'j_tibia_lr', 'j_tibia_rf', 'j_tibia_rm', 'j_tibia_rr'] pos=[0.7922471165657043, 0.6961042881011963, 0.5340218544006348, -0.7019971609115601, -0.5697063207626343, -0.7095195055007935, -0.1946703940629959, -0.14355185627937317, 0.4912060797214508, 0.11050081253051758, 0.2202463001012802, 0.6499439477920532, -0.13412733376026154, -0.0548221580684185, 0.9129189252853394, 0.052809737622737885, 0.16431109607219696, 1.1317949295043945] lin_vel_b=[0.06450079381465912, -0.008129822090268135, 0.05005844682455063] ang_vel_b=[-0.08780965954065323, 0.06796200573444366, 0.11062783747911453] mean_base_height=0.1700
