[JOINT_STATE step=0] names=['j_c1_lf', 'j_c1_lm', 'j_c1_lr', 'j_c1_rf', 'j_c1_rm', 'j_c1_rr', 'j_thigh_lf', 'j_thigh_lm', 'j_thigh_lr', 'j_thigh_rf', 'j_thigh_rm', 'j_thigh_rr', 'j_tibia_lf', 'j_tibia_lm', 'j_tibia_lr', 'j_tibia_rf', 'j_tibia_rm', 'j_tibia_rr'] pos=[-0.09246624261140823, -0.042534422129392624, -0.26438459753990173, 0.01451838668435812, -0.012086640112102032, -0.05797257646918297, -1.2622851133346558, -1.232838749885559, -1.307454228401184, -1.2363144159317017, -1.3671051263809204, -0.9734495878219604, -0.9688315391540527, -1.0184189081192017, -0.8713357448577881, -0.8818047046661377, -1.01270592212677, -0.8783109188079834] lin_vel_b=[0.0, 0.0, 0.0] ang_vel_b=[0.0, 0.0, 0.0] mean_base_height=0.1710
[JOINT_STATE step=50000] names=['j_c1_lf', 'j_c1_lm', 'j_c1_lr', 'j_c1_rf', 'j_c1_rm', 'j_c1_rr', 'j_thigh_lf', 'j_thigh_lm', 'j_thigh_lr', 'j_thigh_rf', 'j_thigh_rm', 'j_thigh_rr', 'j_tibia_lf', 'j_tibia_lm', 'j_tibia_lr', 'j_tibia_rf', 'j_tibia_rm', 'j_tibia_rr'] pos=[0.7155265808105469, 0.6309189200401306, 0.5042105317115784, -0.6158177852630615, -0.670782744884491, -0.49070462584495544, -0.8440561294555664, -0.7822532057762146, -1.2161027193069458, -0.949237048625946, -0.7744083404541016, -0.7654654383659363, -0.957228422164917, -0.9219000935554504, -0.9894236922264099, -0.9916675686836243, -0.7410139441490173, -1.059058427810669] lin_vel_b=[0.0014099283143877983, -0.005299797281622887, -0.005287309642881155] ang_vel_b=[0.3800925612449646, 0.38227489590644836, 0.3398732841014862] mean_base_height=0.1235
[JOINT_STATE step=100000] names=['j_c1_lf', 'j_c1_lm', 'j_c1_lr', 'j_c1_rf', 'j_c1_rm', 'j_c1_rr', 'j_thigh_lf', 'j_thigh_lm', 'j_thigh_lr', 'j_thigh_rf', 'j_thigh_rm', 'j_thigh_rr', 'j_tibia_lf', 'j_tibia_lm', 'j_tibia_lr', 'j_tibia_rf', 'j_tibia_rm', 'j_tibia_rr'] pos=[0.7566020488739014, 0.7316480278968811, 0.7221426367759705, -0.7639273405075073, -0.7143349647521973, -0.6811332702636719, -0.786470890045166, -0.7274523377418518, -0.7706226110458374, -0.9169487357139587, -0.7254769206047058, -0.7634475231170654, -0.6956494450569153, -0.6652487516403198, -0.8967090249061584, -0.9738504886627197, -0.5991729497909546, -0.8139642477035522] lin_vel_b=[0.004943694453686476, 0.0005876440554857254, 0.02989989146590233] ang_vel_b=[0.0171955656260252, 0.018338602036237717, -0.036132145673036575] mean_base_height=0.1217
[JOINT_STATE step=150000] names=['j_c1_lf', 'j_c1_lm', 'j_c1_lr', 'j_c1_rf', 'j_c1_rm', 'j_c1_rr', 'j_thigh_lf', 'j_thigh_lm', 'j_thigh_lr', 'j_thigh_rf', 'j_thigh_rm', 'j_thigh_rr', 'j_tibia_lf', 'j_tibia_lm', 'j_tibia_lr', 'j_tibia_rf', 'j_tibia_rm', 'j_tibia_rr'] pos=[0.20333953201770782, 0.47611376643180847, 0.7420833706855774, -0.42004093527793884, 0.2615019381046295, -0.5994102358818054, -1.0741188526153564, -1.0192264318466187, -0.9621509909629822, -0.8823568224906921, -0.8342870473861694, -0.8186638355255127, -1.1553298234939575, -1.1499183177947998, -1.1680266857147217, -0.976844310760498, -0.9994649887084961, -0.9732859134674072] lin_vel_b=[0.13562971353530884, -0.031441546976566315, 0.031289707869291306] ang_vel_b=[-0.054412711411714554, 0.236179918050766, -0.37211745977401733] mean_base_height=0.1200
[JOINT_STATE step=200000] names=['j_c1_lf', 'j_c1_lm', 'j_c1_lr', 'j_c1_rf', 'j_c1_rm', 'j_c1_rr', 'j_thigh_lf', 'j_thigh_lm', 'j_thigh_lr', 'j_thigh_rf', 'j_thigh_rm', 'j_thigh_rr', 'j_tibia_lf', 'j_tibia_lm', 'j_tibia_lr', 'j_tibia_rf', 'j_tibia_rm', 'j_tibia_rr'] pos=[-0.02726186253130436, 0.5032858848571777, 0.4828273057937622, -0.5070717930793762, 0.11218583583831787, -0.730495274066925, -1.114820957183838, -1.0902148485183716, -1.097830057144165, -0.8836295008659363, -0.9651392698287964, -0.928848147392273, -1.2016931772232056, -1.180578589439392, -1.2202991247177124, -1.0540308952331543, -1.011515736579895, -1.0287617444992065] lin_vel_b=[0.13785181939601898, 0.012845724821090698, 0.029077595099806786] ang_vel_b=[-0.02080642431974411, 0.12271294742822647, 0.011798977851867676] mean_base_height=0.1169
[JOINT_STATE step=250000] names=['j_c1_lf', 'j_c1_lm', 'j_c1_lr', 'j_c1_rf', 'j_c1_rm', 'j_c1_rr', 'j_thigh_lf', 'j_thigh_lm', 'j_thigh_lr', 'j_thigh_rf', 'j_thigh_rm', 'j_thigh_rr', 'j_tibia_lf', 'j_tibia_lm', 'j_tibia_lr', 'j_tibia_rf', 'j_tibia_rm', 'j_tibia_rr'] pos=[-0.7452573776245117, 0.6526937484741211, 0.7020217180252075, -0.6620008945465088, -0.2110247015953064, -0.6698558926582336, -0.9596520066261292, -0.8703809380531311, -0.8714427351951599, -0.9678691625595093, -0.9477517604827881, -0.758013129234314, -1.1031908988952637, -1.0177347660064697, -1.021155834197998, -0.9894803762435913, -0.961741030216217, -0.6256197094917297] lin_vel_b=[0.06059066206216812, -0.007966003380715847, 0.028358668088912964] ang_vel_b=[-0.04854331910610199, 0.16353285312652588, 0.02790198102593422] mean_base_height=0.1210
[JOINT_STATE step=300000] names=['j_c1_lf', 'j_c1_lm', 'j_c1_lr', 'j_c1_rf', 'j_c1_rm', 'j_c1_rr', 'j_thigh_lf', 'j_thigh_lm', 'j_thigh_lr', 'j_thigh_rf', 'j_thigh_rm', 'j_thigh_rr', 'j_tibia_lf', 'j_tibia_lm', 'j_tibia_lr', 'j_tibia_rf', 'j_tibia_rm', 'j_tibia_rr'] pos=[-0.7493907809257507, 0.6285861730575562, 0.7302695512771606, -0.6653557419776917, 0.1516997069120407, -0.7159116864204407, -0.9200945496559143, -0.8013880848884583, -0.8741768002510071, -0.9686725735664368, -1.0060242414474487, -0.7726304531097412, -1.0903935432434082, -0.9876794815063477, -0.9300656914710999, -1.0140771865844727, -0.7797876000404358, -0.6736820936203003] lin_vel_b=[0.07973998039960861, 0.00039143115282058716, -0.0012007119366899133] ang_vel_b=[-0.09106885641813278, 0.08155465126037598, -0.09235135465860367] mean_base_height=0.1227
[JOINT_STATE step=350000] names=['j_c1_lf', 'j_c1_lm', 'j_c1_lr', 'j_c1_rf', 'j_c1_rm', 'j_c1_rr', 'j_thigh_lf', 'j_thigh_lm', 'j_thigh_lr', 'j_thigh_rf', 'j_thigh_rm', 'j_thigh_rr', 'j_tibia_lf', 'j_tibia_lm', 'j_tibia_lr', 'j_tibia_rf', 'j_tibia_rm', 'j_tibia_rr'] pos=[-0.7339093685150146, 0.6761717200279236, 0.7073243856430054, -0.6490781307220459, 0.22723013162612915, -0.7409154772758484, -0.8147493004798889, -0.8141506910324097, -0.8969042301177979, -0.9357938170433044, -0.9200039505958557, -0.8148849010467529, -0.9964935779571533, -1.0084515810012817, -1.040725588798523, -1.0103791952133179, -0.8804206848144531, -0.6709001660346985] lin_vel_b=[0.07125683128833771, 0.013900844380259514, 0.0355883352458477] ang_vel_b=[0.06547173112630844, 0.03333649784326553, 0.09567569941282272] mean_base_height=0.1217
[JOINT_STATE step=400000] names=['j_c1_lf', 'j_c1_lm', 'j_c1_lr', 'j_c1_rf', 'j_c1_rm', 'j_c1_rr', 'j_thigh_lf', 'j_thigh_lm', 'j_thigh_lr', 'j_thigh_rf', 'j_thigh_rm', 'j_thigh_rr', 'j_tibia_lf', 'j_tibia_lm', 'j_tibia_lr', 'j_tibia_rf', 'j_tibia_rm', 'j_tibia_rr'] pos=[-0.7288373112678528, 0.607609748840332, 0.724696159362793, -0.6008555293083191, 0.06282822787761688, -0.7460970878601074, -0.8433818817138672, -0.8480080366134644, -0.9191730618476868, -0.9200411438941956, -0.9573368430137634, -0.8058295249938965, -1.038811206817627, -1.0689597129821777, -0.9538880586624146, -1.038871169090271, -0.7905678749084473, -0.6678364872932434] lin_vel_b=[0.09419498592615128, -0.005177940241992474, -0.005652253981679678] ang_vel_b=[-0.031200749799609184, -0.04464315250515938, -0.05281244218349457] mean_base_height=0.1215
[JOINT_STATE step=450000] names=['j_c1_lf', 'j_c1_lm', 'j_c1_lr', 'j_c1_rf', 'j_c1_rm', 'j_c1_rr', 'j_thigh_lf', 'j_thigh_lm', 'j_thigh_lr', 'j_thigh_rf', 'j_thigh_rm', 'j_thigh_rr', 'j_tibia_lf', 'j_tibia_lm', 'j_tibia_lr', 'j_tibia_rf', 'j_tibia_rm', 'j_tibia_rr'] pos=[-0.7106554508209229, 0.6931577324867249, 0.7342656850814819, -0.6387476921081543, 0.15698836743831635, -0.7483224868774414, -0.9567330479621887, -0.8950639367103577, -1.034970760345459, -0.9090638756752014, -0.8740140199661255, -0.8052651286125183, -1.1101502180099487, -1.0070046186447144, -1.0152994394302368, -1.074437141418457, -0.6912996172904968, -0.7488033175468445] lin_vel_b=[0.06405248492956161, -0.0008542314171791077, 0.024187466129660606] ang_vel_b=[-0.1081993579864502, 0.14408282935619354, 0.02647431381046772] mean_base_height=0.1207
[JOINT_STATE step=500000] names=['j_c1_lf', 'j_c1_lm', 'j_c1_lr', 'j_c1_rf', 'j_c1_rm', 'j_c1_rr', 'j_thigh_lf', 'j_thigh_lm', 'j_thigh_lr', 'j_thigh_rf', 'j_thigh_rm', 'j_thigh_rr', 'j_tibia_lf', 'j_tibia_lm', 'j_tibia_lr', 'j_tibia_rf', 'j_tibia_rm', 'j_tibia_rr'] pos=[-0.7449508905410767, 0.648878276348114, 0.7335739135742188, -0.6712296605110168, -0.1653812974691391, -0.7459889054298401, -0.96946120262146, -0.9084964990615845, -0.8871093392372131, -0.9716663956642151, -0.8609868884086609, -0.8415203094482422, -1.1556808948516846, -1.0589251518249512, -1.0124406814575195, -1.0980334281921387, -0.7952115535736084, -0.8174804449081421] lin_vel_b=[0.08505484461784363, 0.003337876871228218, 0.013139409944415092] ang_vel_b=[0.03231481462717056, -0.18396437168121338, 0.03809966519474983] mean_base_height=0.1209
