[JOINT_STATE step=0] names=['j_c1_lf', 'j_c1_lm', 'j_c1_lr', 'j_c1_rf', 'j_c1_rm', 'j_c1_rr', 'j_thigh_lf', 'j_thigh_lm', 'j_thigh_lr', 'j_thigh_rf', 'j_thigh_rm', 'j_thigh_rr', 'j_tibia_lf', 'j_tibia_lm', 'j_tibia_lr', 'j_tibia_rf', 'j_tibia_rm', 'j_tibia_rr'] pos=[0.01808258332312107, -0.05522627755999565, 0.09238133579492569, -0.07349704951047897, 0.13799946010112762, 0.08676306903362274, -1.1870344877243042, -1.2940640449523926, -1.1189091205596924, -1.1117949485778809, -1.301326036453247, -1.236336350440979, -0.9489919543266296, -0.9582145810127258, -1.0688769817352295, -1.0134663581848145, -1.031126856803894, -0.8208362460136414] lin_vel_b=[0.0, 0.0, 0.0] ang_vel_b=[0.0, 0.0, 0.0] mean_base_height=0.1731
[JOINT_STATE step=50000] names=['j_c1_lf', 'j_c1_lm', 'j_c1_lr', 'j_c1_rf', 'j_c1_rm', 'j_c1_rr', 'j_thigh_lf', 'j_thigh_lm', 'j_thigh_lr', 'j_thigh_rf', 'j_thigh_rm', 'j_thigh_rr', 'j_tibia_lf', 'j_tibia_lm', 'j_tibia_lr', 'j_tibia_rf', 'j_tibia_rm', 'j_tibia_rr'] pos=[0.47431430220603943, -0.48442336916923523, -0.5040273070335388, 0.4783455431461334, 0.5074747800827026, -0.47571057081222534, -1.1340880393981934, -0.9685850739479065, -1.1127179861068726, -0.9991651773452759, -1.2971481084823608, -1.0312635898590088, -1.3658726215362549, -1.340939998626709, -1.2053853273391724, -1.112480878829956, -1.3379689455032349, -1.1403331756591797] lin_vel_b=[0.0051409173756837845, 0.01021049078553915, 0.02027403935790062] ang_vel_b=[0.03805356100201607, -0.022868147119879723, 0.09403927624225616] mean_base_height=0.1137
[JOINT_STATE step=100000] names=['j_c1_lf', 'j_c1_lm', 'j_c1_lr', 'j_c1_rf', 'j_c1_rm', 'j_c1_rr', 'j_thigh_lf', 'j_thigh_lm', 'j_thigh_lr', 'j_thigh_rf', 'j_thigh_rm', 'j_thigh_rr', 'j_tibia_lf', 'j_tibia_lm', 'j_tibia_lr', 'j_tibia_rf', 'j_tibia_rm', 'j_tibia_rr'] pos=[-0.4991573393344879, -0.46867144107818604, -0.5124328136444092, 0.47691601514816284, 0.4997658133506775, -0.5152435898780823, -0.9574605822563171, -0.932115375995636, -1.0640047788619995, -1.080458641052246, -1.310111165046692, -1.0708781480789185, -1.190236210823059, -1.2069960832595825, -1.2999358177185059, -1.3935778141021729, -1.4809805154800415, -0.8844974040985107] lin_vel_b=[0.016787778586149216, -0.0011706023942679167, 0.014109572395682335] ang_vel_b=[0.07732900977134705, 0.11597223579883575, 0.03302808478474617] mean_base_height=0.1096
[JOINT_STATE step=150000] names=['j_c1_lf', 'j_c1_lm', 'j_c1_lr', 'j_c1_rf', 'j_c1_rm', 'j_c1_rr', 'j_thigh_lf', 'j_thigh_lm', 'j_thigh_lr', 'j_thigh_rf', 'j_thigh_rm', 'j_thigh_rr', 'j_tibia_lf', 'j_tibia_lm', 'j_tibia_lr', 'j_tibia_rf', 'j_tibia_rm', 'j_tibia_rr'] pos=[-0.47505640983581543, -0.38198307156562805, -0.48578307032585144, 0.48806092143058777, 0.4695333242416382, -0.5110411047935486, -1.047029733657837, -1.2265316247940063, -1.117653727531433, -1.2519112825393677, -1.245767593383789, -1.3139612674713135, -1.3102556467056274, -1.3182783126831055, -1.272902250289917, -1.3596335649490356, -1.3863074779510498, -1.2280460596084595] lin_vel_b=[0.02995401993393898, 0.004476685076951981, 0.05864132568240166] ang_vel_b=[0.002654692158102989, -0.017878131940960884, -0.030784964561462402] mean_base_height=0.1092
[JOINT_STATE step=200000] names=['j_c1_lf', 'j_c1_lm', 'j_c1_lr', 'j_c1_rf', 'j_c1_rm', 'j_c1_rr', 'j_thigh_lf', 'j_thigh_lm', 'j_thigh_lr', 'j_thigh_rf', 'j_thigh_rm', 'j_thigh_rr', 'j_tibia_lf', 'j_tibia_lm', 'j_tibia_lr', 'j_tibia_rf', 'j_tibia_rm', 'j_tibia_rr'] pos=[-0.4798262417316437, -0.2292259782552719, -0.4663769602775574, 0.48505643010139465, 0.4928537905216217, -0.5291945338249207, -1.1428369283676147, -1.1865200996398926, -1.2462035417556763, -1.144231915473938, -1.4031647443771362, -1.2161065340042114, -1.3206868171691895, -1.2624415159225464, -1.2922803163528442, -1.5443148612976074, -1.4806530475616455, -1.0401077270507812] lin_vel_b=[0.08023486286401749, 0.031163349747657776, -0.017277155071496964] ang_vel_b=[0.3691633343696594, 0.00974854826927185, -0.00013245758600533009] mean_base_height=0.1086
[JOINT_STATE step=250000] names=['j_c1_lf', 'j_c1_lm', 'j_c1_lr', 'j_c1_rf', 'j_c1_rm', 'j_c1_rr', 'j_thigh_lf', 'j_thigh_lm', 'j_thigh_lr', 'j_thigh_rf', 'j_thigh_rm', 'j_thigh_rr', 'j_tibia_lf', 'j_tibia_lm', 'j_tibia_lr', 'j_tibia_rf', 'j_tibia_rm', 'j_tibia_rr'] pos=[0.11843132972717285, 0.3627314567565918, 0.4942864775657654, 0.33909329771995544, -0.36325740814208984, -0.49568912386894226, -0.9744138717651367, -0.8856233358383179, -0.8976411819458008, -0.9638303518295288, -0.9949652552604675, -0.9713853001594543, -1.085583209991455, -1.0326566696166992, -0.9206061959266663, -0.758830189704895, -1.4698965549468994, -1.3792827129364014] lin_vel_b=[-0.07115986198186874, -0.0020527783781290054, 0.019739774987101555] ang_vel_b=[-0.034176021814346313, -0.18120524287223816, 0.04775572195649147] mean_base_height=0.1084
[JOINT_STATE step=300000] names=['j_c1_lf', 'j_c1_lm', 'j_c1_lr', 'j_c1_rf', 'j_c1_rm', 'j_c1_rr', 'j_thigh_lf', 'j_thigh_lm', 'j_thigh_lr', 'j_thigh_rf', 'j_thigh_rm', 'j_thigh_rr', 'j_tibia_lf', 'j_tibia_lm', 'j_tibia_lr', 'j_tibia_rf', 'j_tibia_rm', 'j_tibia_rr'] pos=[-0.485210657119751, -0.16601768136024475, -0.3670555353164673, 0.492919385433197, 0.3393307626247406, -0.4785957336425781, -1.1838754415512085, -1.0116456747055054, -1.2827131748199463, -0.9866743683815002, -1.313424825668335, -1.1514228582382202, -0.9556422829627991, -1.1254771947860718, -0.985726535320282, -1.2032597064971924, -1.3837119340896606, -1.130908727645874] lin_vel_b=[0.060006674379110336, -0.013212710618972778, 0.03179164230823517] ang_vel_b=[-0.024499692022800446, 0.0822000652551651, -0.08105188608169556] mean_base_height=0.1092
[JOINT_STATE step=350000] names=['j_c1_lf', 'j_c1_lm', 'j_c1_lr', 'j_c1_rf', 'j_c1_rm', 'j_c1_rr', 'j_thigh_lf', 'j_thigh_lm', 'j_thigh_lr', 'j_thigh_rf', 'j_thigh_rm', 'j_thigh_rr', 'j_tibia_lf', 'j_tibia_lm', 'j_tibia_lr', 'j_tibia_rf', 'j_tibia_rm', 'j_tibia_rr'] pos=[-0.49732643365859985, 0.15681253373622894, -0.4416908621788025, 0.49065521359443665, 0.46290484070777893, -0.5334290266036987, -0.9532391428947449, -1.0164260864257812, -1.296235203742981, -0.9581866264343262, -1.3461359739303589, -1.0764912366867065, -0.9812675714492798, -1.1882057189941406, -1.3493813276290894, -1.3228387832641602, -1.480229139328003, -0.8155919313430786] lin_vel_b=[0.11336399614810944, -0.044680189341306686, -0.08077236264944077] ang_vel_b=[-0.4652990698814392, -0.18857219815254211, 0.019873566925525665] mean_base_height=0.1100
[JOINT_STATE step=400000] names=['j_c1_lf', 'j_c1_lm', 'j_c1_lr', 'j_c1_rf', 'j_c1_rm', 'j_c1_rr', 'j_thigh_lf', 'j_thigh_lm', 'j_thigh_lr', 'j_thigh_rf', 'j_thigh_rm', 'j_thigh_rr', 'j_tibia_lf', 'j_tibia_lm', 'j_tibia_lr', 'j_tibia_rf', 'j_tibia_rm', 'j_tibia_rr'] pos=[-0.48933976888656616, -0.10968287289142609, -0.36372557282447815, 0.4874083697795868, 0.3378334939479828, -0.49206262826919556, -1.122623324394226, -0.9401853084564209, -1.4097890853881836, -0.9645975828170776, -1.4259065389633179, -1.0973683595657349, -0.9632376432418823, -1.1057525873184204, -1.1862033605575562, -1.1999434232711792, -1.4146764278411865, -0.9648176431655884] lin_vel_b=[0.10457327216863632, -0.01924756169319153, 0.013290188275277615] ang_vel_b=[-0.01181541383266449, -0.09194396436214447, -0.09908172488212585] mean_base_height=0.1109
[JOINT_STATE step=450000] names=['j_c1_lf', 'j_c1_lm', 'j_c1_lr', 'j_c1_rf', 'j_c1_rm', 'j_c1_rr', 'j_thigh_lf', 'j_thigh_lm', 'j_thigh_lr', 'j_thigh_rf', 'j_thigh_rm', 'j_thigh_rr', 'j_tibia_lf', 'j_tibia_lm', 'j_tibia_lr', 'j_tibia_rf', 'j_tibia_rm', 'j_tibia_rr'] pos=[-0.48602864146232605, -0.11501001566648483, -0.31900811195373535, 0.4937605559825897, 0.31374621391296387, -0.5089609622955322, -0.9024659395217896, -1.1386280059814453, -1.111143708229065, -1.1121841669082642, -1.2076263427734375, -1.2476669549942017, -1.010940432548523, -1.1161302328109741, -1.2415107488632202, -1.210703730583191, -1.4051003456115723, -0.8630527853965759] lin_vel_b=[0.09326077252626419, 0.019432978704571724, 0.05000385642051697] ang_vel_b=[-0.06127331405878067, 0.12501050531864166, -0.04979533329606056] mean_base_height=0.1110
[JOINT_STATE step=500000] names=['j_c1_lf', 'j_c1_lm', 'j_c1_lr', 'j_c1_rf', 'j_c1_rm', 'j_c1_rr', 'j_thigh_lf', 'j_thigh_lm', 'j_thigh_lr', 'j_thigh_rf', 'j_thigh_rm', 'j_thigh_rr', 'j_tibia_lf', 'j_tibia_lm', 'j_tibia_lr', 'j_tibia_rf', 'j_tibia_rm', 'j_tibia_rr'] pos=[-0.47795602679252625, 0.013970637694001198, -0.42092594504356384, 0.49117642641067505, 0.4017973244190216, -0.5340307354927063, -0.9331477284431458, -0.9255967736244202, -1.3096283674240112, -0.9508035778999329, -1.53573739528656, -1.0834542512893677, -0.8233028650283813, -1.1079202890396118, -1.171390175819397, -1.350522756576538, -1.3193379640579224, -1.0148731470108032] lin_vel_b=[0.11020878702402115, -0.006676420569419861, 0.011093649081885815] ang_vel_b=[0.038960739970207214, -0.015480685979127884, -0.03698399290442467] mean_base_height=0.1119
